algo,env,seed,step,metric,value
ppo,InvertedDoublePendulum-v5,0,1000,episode_reward,2989.6638170446104
ppo,InvertedDoublePendulum-v5,0,2000,episode_reward,3237.8394459541505
ppo,InvertedDoublePendulum-v5,0,3000,episode_reward,3251.4072690267963
ppo,InvertedDoublePendulum-v5,0,4000,episode_reward,3413.1025245988512
ppo,InvertedDoublePendulum-v5,0,5000,episode_reward,3508.0884065773985
ppo,InvertedDoublePendulum-v5,0,6000,episode_reward,3577.8703130891436
ppo,InvertedDoublePendulum-v5,0,7000,episode_reward,3643.6385004536346
ppo,InvertedDoublePendulum-v5,0,8000,episode_reward,3655.868550162933
ppo,InvertedDoublePendulum-v5,0,9000,episode_reward,3747.706969151707
ppo,InvertedDoublePendulum-v5,0,10000,episode_reward,3831.9971081256185
ppo,InvertedDoublePendulum-v5,0,11000,episode_reward,3852.5402470566896
ppo,InvertedDoublePendulum-v5,0,12000,episode_reward,3956.4496612453245
ppo,InvertedDoublePendulum-v5,0,13000,episode_reward,3975.069496351201
ppo,InvertedDoublePendulum-v5,0,14000,episode_reward,4003.685704573432
ppo,InvertedDoublePendulum-v5,0,15000,episode_reward,4109.831173001397
ppo,InvertedDoublePendulum-v5,0,16000,episode_reward,4082.8085587222945
ppo,InvertedDoublePendulum-v5,0,17000,episode_reward,4092.829176724827
ppo,InvertedDoublePendulum-v5,0,18000,episode_reward,4083.5654050367775
ppo,InvertedDoublePendulum-v5,0,19000,episode_reward,4198.3072221115835
ppo,InvertedDoublePendulum-v5,0,20000,episode_reward,4165.127069562267
ppo,InvertedDoublePendulum-v5,0,21000,episode_reward,4159.272539133407
ppo,InvertedDoublePendulum-v5,0,22000,episode_reward,4180.165214348964
ppo,InvertedDoublePendulum-v5,0,23000,episode_reward,4131.410676139393
ppo,InvertedDoublePendulum-v5,0,24000,episode_reward,4186.1546195034725
ppo,InvertedDoublePendulum-v5,0,25000,episode_reward,4209.690322244436
ppo,InvertedDoublePendulum-v5,0,26000,episode_reward,4218.375632905066
ppo,InvertedDoublePendulum-v5,0,27000,episode_reward,4216.231550940317
ppo,InvertedDoublePendulum-v5,0,28000,episode_reward,4239.382955581817
ppo,InvertedDoublePendulum-v5,0,29000,episode_reward,4225.800722926454
ppo,InvertedDoublePendulum-v5,0,30000,episode_reward,4257.9749485514085
ppo,InvertedDoublePendulum-v5,0,31000,episode_reward,4223.821119734629
ppo,InvertedDoublePendulum-v5,0,32000,episode_reward,4291.750213231963
ppo,InvertedDoublePendulum-v5,0,33000,episode_reward,4270.135152823748
ppo,InvertedDoublePendulum-v5,0,34000,episode_reward,4270.6063738680605
ppo,InvertedDoublePendulum-v5,0,35000,episode_reward,4279.466921563139
ppo,InvertedDoublePendulum-v5,0,36000,episode_reward,4334.060948923685
ppo,InvertedDoublePendulum-v5,0,37000,episode_reward,4279.084235841006
ppo,InvertedDoublePendulum-v5,0,38000,episode_reward,4308.965088816612
ppo,InvertedDoublePendulum-v5,0,39000,episode_reward,4328.609684439981
ppo,InvertedDoublePendulum-v5,0,40000,episode_reward,4354.288049634806
ppo,InvertedDoublePendulum-v5,0,41000,episode_reward,4331.572526434573
ppo,InvertedDoublePendulum-v5,0,42000,episode_reward,4321.364145186537
ppo,InvertedDoublePendulum-v5,0,43000,episode_reward,4365.103020694186
ppo,InvertedDoublePendulum-v5,0,44000,episode_reward,4396.201255184701
ppo,InvertedDoublePendulum-v5,0,45000,episode_reward,4355.518323766482
ppo,InvertedDoublePendulum-v5,0,46000,episode_reward,4365.860204111862
ppo,InvertedDoublePendulum-v5,0,47000,episode_reward,4411.274720839324
ppo,InvertedDoublePendulum-v5,0,48000,episode_reward,4416.721805492623
ppo,InvertedDoublePendulum-v5,0,49000,episode_reward,4416.046458932817
ppo,InvertedDoublePendulum-v5,0,50000,episode_reward,4436.528598183721
ppo,InvertedDoublePendulum-v5,0,51000,episode_reward,4453.069273795393
ppo,InvertedDoublePendulum-v5,0,52000,episode_reward,4399.523864913558
ppo,InvertedDoublePendulum-v5,0,53000,episode_reward,4440.1492992571975
