algo,env,seed,step,metric,value
ppo,Pendulum-v1,0,1000,episode_reward,-2788.721434173842
ppo,Pendulum-v1,0,2000,episode_reward,-2782.871649095008
ppo,Pendulum-v1,0,3000,episode_reward,-3571.361792366129
ppo,Pendulum-v1,0,4000,episode_reward,-2877.776562330518
ppo,Pendulum-v1,0,5000,episode_reward,-3163.655087865599
ppo,Pendulum-v1,0,6000,episode_reward,-2893.819379038958
ppo,Pendulum-v1,0,7000,episode_reward,-3030.1547743943993
ppo,Pendulum-v1,0,8000,episode_reward,-3563.877931466064
ppo,Pendulum-v1,0,9000,episode_reward,-2689.20811959803
ppo,Pendulum-v1,0,10000,episode_reward,-2701.814842270236
ppo,Pendulum-v1,0,11000,episode_reward,-3024.025152207946
ppo,Pendulum-v1,0,12000,episode_reward,-2937.0901072777133
ppo,Pendulum-v1,0,13000,episode_reward,-3137.82049121533
ppo,Pendulum-v1,0,14000,episode_reward,-3054.289703024187
ppo,Pendulum-v1,0,15000,episode_reward,-2747.6550192294026
ppo,Pendulum-v1,0,16000,episode_reward,-2788.676634140795
ppo,Pendulum-v1,0,17000,episode_reward,-2865.175387889237
ppo,Pendulum-v1,0,18000,episode_reward,-3065.0468175088404
ppo,Pendulum-v1,0,19000,episode_reward,-2999.2439054949787
ppo,Pendulum-v1,0,20000,episode_reward,-3165.823611887613
ppo,Pendulum-v1,0,21000,episode_reward,-3029.1523452836846
ppo,Pendulum-v1,0,22000,episode_reward,-2803.5427494701953
ppo,Pendulum-v1,0,23000,episode_reward,-3042.397319899993
ppo,Pendulum-v1,0,24000,episode_reward,-3188.687088652086
ppo,Pendulum-v1,0,25000,episode_reward,-3042.1293032258145
ppo,Pendulum-v1,0,26000,episode_reward,-3059.9104176971446
ppo,Pendulum-v1,0,27000,episode_reward,-3182.633248218851
ppo,Pendulum-v1,0,28000,episode_reward,-3020.6860635727103
ppo,Pendulum-v1,0,29000,episode_reward,-3205.9955114586915
ppo,Pendulum-v1,0,30000,episode_reward,-2991.849993232441
ppo,Pendulum-v1,0,31000,episode_reward,-3158.79951669209
ppo,Pendulum-v1,0,32000,episode_reward,-3124.458755467443
ppo,Pendulum-v1,0,33000,episode_reward,-3061.402221084659
ppo,Pendulum-v1,0,34000,episode_reward,-3128.2670537599784
ppo,Pendulum-v1,0,35000,episode_reward,-3369.0503480116713
ppo,Pendulum-v1,0,36000,episode_reward,-3187.049053611937
ppo,Pendulum-v1,0,37000,episode_reward,-3211.6617339803574
ppo,Pendulum-v1,0,38000,episode_reward,-3038.0777427061794
ppo,Pendulum-v1,0,39000,episode_reward,-3244.3765645554577
ppo,Pendulum-v1,0,40000,episode_reward,-3396.3607610974204
ppo,Pendulum-v1,0,41000,episode_reward,-3332.176912392646
ppo,Pendulum-v1,0,42000,episode_reward,-3204.792658295772
ppo,Pendulum-v1,0,43000,episode_reward,-3200.160029104907
ppo,Pendulum-v1,0,44000,episode_reward,-3123.77537541356
ppo,Pendulum-v1,0,45000,episode_reward,-3172.692240692864
ppo,Pendulum-v1,0,46000,episode_reward,-3287.9766746678374
ppo,Pendulum-v1,0,47000,episode_reward,-3256.1999269449384
ppo,Pendulum-v1,0,48000,episode_reward,-3299.670934401807
ppo,Pendulum-v1,0,49000,episode_reward,-3176.8172461793756
ppo,Pendulum-v1,0,50000,episode_reward,-3283.900114176881
ppo,Pendulum-v1,0,51000,episode_reward,-3282.7791979810927
ppo,Pendulum-v1,0,52000,episode_reward,-3186.1050340936476
ppo,Pendulum-v1,0,53000,episode_reward,-3016.1195529001197
ppo,Pendulum-v1,0,54000,episode_reward,-3169.94163002103
ppo,Pendulum-v1,0,55000,episode_reward,-3260.424451453624
ppo,Pendulum-v1,0,56000,episode_reward,-2836.451444029852
ppo,Pendulum-v1,0,57000,episode_reward,-2905.1409587766575
ppo,Pendulum-v1,0,58000,episode_reward,-2764.290647190885
ppo,Pendulum-v1,0,59000,episode_reward,-2733.1079112164743
ppo,Pendulum-v1,0,60000,episode_reward,-3075.921987981326
ppo,Pendulum-v1,0,1000,eval_reward,-1234.5378299293004
ppo,Pendulum-v1,0,2000,eval_reward,-1221.6221686590977
ppo,Pendulum-v1,0,3000,eval_reward,-1191.0063937070017
ppo,Pendulum-v1,0,4000,eval_reward,-1204.781005049744
ppo,Pendulum-v1,0,5000,eval_reward,-1219.7612779498102
ppo,Pendulum-v1,0,6000,eval_reward,-1162.7331778751177
ppo,Pendulum-v1,0,7000,eval_reward,-1176.8151634168055
ppo,Pendulum-v1,0,8000,eval_reward,-1162.5004632369744
ppo,Pendulum-v1,0,9000,eval_reward,-1163.02946454176
ppo,Pendulum-v1,0,10000,eval_reward,-1164.2380718674399
ppo,Pendulum-v1,0,11000,eval_reward,-1166.7004782387155
ppo,Pendulum-v1,0,12000,eval_reward,-1144.0926345977828
ppo,Pendulum-v1,0,13000,eval_reward,-1170.4862239552704
ppo,Pendulum-v1,0,14000,eval_reward,-1178.218584141776
ppo,Pendulum-v1,0,15000,eval_reward,-1120.1446575841012
ppo,Pendulum-v1,0,16000,eval_reward,-1147.7304156121847
ppo,Pendulum-v1,0,17000,eval_reward,-1209.3054602947655
ppo,Pendulum-v1,0,18000,eval_reward,-1193.6893344654877
ppo,Pendulum-v1,0,19000,eval_reward,-1162.7299361433247
ppo,Pendulum-v1,0,20000,eval_reward,-1187.1750855452399
ppo,Pendulum-v1,0,21000,eval_reward,-1215.2424353411461
ppo,Pendulum-v1,0,22000,eval_reward,-1215.766967560541
ppo,Pendulum-v1,0,23000,eval_reward,-1187.4827339219332
ppo,Pendulum-v1,0,24000,eval_reward,-1243.5908938606588
ppo,Pendulum-v1,0,25000,eval_reward,-1249.3791397129696
ppo,Pendulum-v1,0,26000,eval_reward,-1231.0982609469993
ppo,Pendulum-v1,0,27000,eval_reward,-1271.9695971297394
ppo,Pendulum-v1,0,28000,eval_reward,-1271.493234730827
ppo,Pendulum-v1,0,29000,eval_reward,-1266.8383841354414
ppo,Pendulum-v1,0,30000,eval_reward,-1243.425874398298
ppo,Pendulum-v1,0,31000,eval_reward,-1283.5890740590587
ppo,Pendulum-v1,0,32000,eval_reward,-1285.0677089461926
ppo,Pendulum-v1,0,33000,eval_reward,-1223.1217269015663
ppo,Pendulum-v1,0,34000,eval_reward,-1277.8213814957555
ppo,Pendulum-v1,0,35000,eval_reward,-1276.5248433919178
ppo,Pendulum-v1,0,36000,eval_reward,-1243.6787654081809
ppo,Pendulum-v1,0,37000,eval_reward,-1276.9938651323737
