algo,env,seed,step,metric,value
ppo,InvertedDoublePendulum-v5,0,3072,episode_reward,6517.16073587274
ppo,InvertedDoublePendulum-v5,0,6144,episode_reward,6528.146657050375
ppo,InvertedDoublePendulum-v5,0,9216,episode_reward,6545.592893449511
ppo,InvertedDoublePendulum-v5,0,12288,episode_reward,6695.514283835666
ppo,InvertedDoublePendulum-v5,0,15360,episode_reward,6807.169670503264
ppo,InvertedDoublePendulum-v5,0,18432,episode_reward,6547.5976542537155
ppo,InvertedDoublePendulum-v5,0,21504,episode_reward,6419.102676230864
ppo,InvertedDoublePendulum-v5,0,24576,episode_reward,6560.0106461591895
ppo,InvertedDoublePendulum-v5,0,27648,episode_reward,6544.914860466152
ppo,InvertedDoublePendulum-v5,0,30720,episode_reward,4985.126192349738
ppo,InvertedDoublePendulum-v5,0,33792,episode_reward,6373.494257310251
ppo,InvertedDoublePendulum-v5,0,36864,episode_reward,6397.095038907124
ppo,InvertedDoublePendulum-v5,0,39936,episode_reward,6383.263106407256
ppo,InvertedDoublePendulum-v5,0,43008,episode_reward,6428.876242347908
ppo,InvertedDoublePendulum-v5,0,46080,episode_reward,6457.882845221782
ppo,InvertedDoublePendulum-v5,0,49152,episode_reward,6540.156088992009
ppo,InvertedDoublePendulum-v5,0,52224,episode_reward,6940.328940548735
ppo,InvertedDoublePendulum-v5,0,55296,episode_reward,6814.454703015729
ppo,InvertedDoublePendulum-v5,0,58368,episode_reward,6690.768884233937
ppo,InvertedDoublePendulum-v5,0,61440,episode_reward,7400.468210712083
ppo,InvertedDoublePendulum-v5,0,64512,episode_reward,7363.3391157847545
ppo,InvertedDoublePendulum-v5,0,67584,episode_reward,7060.39510998336
ppo,InvertedDoublePendulum-v5,0,70656,episode_reward,7509.590934621006
ppo,InvertedDoublePendulum-v5,0,73728,episode_reward,7727.81962636724
ppo,InvertedDoublePendulum-v5,0,76800,episode_reward,6458.212029035842
ppo,InvertedDoublePendulum-v5,0,79872,episode_reward,4809.231986395513
ppo,InvertedDoublePendulum-v5,0,82944,episode_reward,4801.219710640072
ppo,InvertedDoublePendulum-v5,0,86016,episode_reward,4808.645632514668
ppo,InvertedDoublePendulum-v5,0,89088,episode_reward,4794.426231988809
ppo,InvertedDoublePendulum-v5,0,92160,episode_reward,4821.166063751328
ppo,InvertedDoublePendulum-v5,0,95232,episode_reward,4811.029894577183
ppo,InvertedDoublePendulum-v5,0,98304,episode_reward,4800.362789684885
ppo,InvertedDoublePendulum-v5,0,101376,episode_reward,4823.658471261591
ppo,InvertedDoublePendulum-v5,0,104448,episode_reward,4921.806628026697
ppo,InvertedDoublePendulum-v5,0,107520,episode_reward,4968.429162612248
ppo,InvertedDoublePendulum-v5,0,110592,episode_reward,5057.665687394768
ppo,InvertedDoublePendulum-v5,0,113664,episode_reward,4848.676205442238
ppo,InvertedDoublePendulum-v5,0,116736,episode_reward,4799.639715254032
ppo,InvertedDoublePendulum-v5,0,119808,episode_reward,4795.141466968992
ppo,InvertedDoublePendulum-v5,0,122880,episode_reward,4924.969521451126
ppo,InvertedDoublePendulum-v5,0,125952,episode_reward,4798.317894762588
ppo,InvertedDoublePendulum-v5,0,129024,episode_reward,4847.524720502502
ppo,InvertedDoublePendulum-v5,0,132096,episode_reward,4835.657700600062
ppo,InvertedDoublePendulum-v5,0,135168,episode_reward,4841.997517266761
ppo,InvertedDoublePendulum-v5,0,138240,episode_reward,4850.891503429743
ppo,InvertedDoublePendulum-v5,0,141312,episode_reward,4820.864799839638
ppo,InvertedDoublePendulum-v5,0,144384,episode_reward,4853.553194007671
ppo,InvertedDoublePendulum-v5,0,147456,episode_reward,4854.993745455589
ppo,InvertedDoublePendulum-v5,0,150528,episode_reward,4824.149009083083
ppo,InvertedDoublePendulum-v5,0,153600,episode_reward,4927.941139288609
ppo,InvertedDoublePendulum-v5,0,156672,episode_reward,4922.326570159153
ppo,InvertedDoublePendulum-v5,0,159744,episode_reward,4838.040008731738
ppo,InvertedDoublePendulum-v5,0,162816,episode_reward,4833.029184739118
ppo,InvertedDoublePendulum-v5,0,165888,episode_reward,4813.804201420454
ppo,InvertedDoublePendulum-v5,0,168960,episode_reward,4795.7775067320545
ppo,InvertedDoublePendulum-v5,0,172032,episode_reward,4866.5554250805635
ppo,InvertedDoublePendulum-v5,0,175104,episode_reward,4851.913137880933
ppo,InvertedDoublePendulum-v5,0,178176,episode_reward,4845.648007215027
ppo,InvertedDoublePendulum-v5,0,181248,episode_reward,4897.2599093777335
ppo,InvertedDoublePendulum-v5,0,184320,episode_reward,4865.353748715207
ppo,InvertedDoublePendulum-v5,0,187392,episode_reward,4857.296794046007
ppo,InvertedDoublePendulum-v5,0,190464,episode_reward,4798.962966722437
ppo,InvertedDoublePendulum-v5,0,193536,episode_reward,4813.932190796998
ppo,InvertedDoublePendulum-v5,0,196608,episode_reward,4827.879614074538
ppo,InvertedDoublePendulum-v5,0,199680,episode_reward,4803.928088664793
ppo,InvertedDoublePendulum-v5,0,202752,episode_reward,4799.08763044589
ppo,InvertedDoublePendulum-v5,0,205824,episode_reward,4797.379837852873
ppo,InvertedDoublePendulum-v5,0,208896,episode_reward,5185.14437826651
ppo,InvertedDoublePendulum-v5,0,211968,episode_reward,5425.049095494634
ppo,InvertedDoublePendulum-v5,0,215040,episode_reward,5009.955741639734
ppo,InvertedDoublePendulum-v5,0,218112,episode_reward,4789.115516667682
ppo,InvertedDoublePendulum-v5,0,221184,episode_reward,4804.6770787771475
ppo,InvertedDoublePendulum-v5,0,224256,episode_reward,4827.152905814162
ppo,InvertedDoublePendulum-v5,0,227328,episode_reward,4919.111938563626
ppo,InvertedDoublePendulum-v5,0,230400,episode_reward,5072.053073293714
ppo,InvertedDoublePendulum-v5,0,233472,episode_reward,5036.480972823925
ppo,InvertedDoublePendulum-v5,0,236544,episode_reward,5199.385966841902
ppo,InvertedDoublePendulum-v5,0,239616,episode_reward,5159.711323293337
ppo,InvertedDoublePendulum-v5,0,242688,episode_reward,5384.267655273603
ppo,InvertedDoublePendulum-v5,0,245760,episode_reward,5197.866151435186
ppo,InvertedDoublePendulum-v5,0,248832,episode_reward,5049.840377926565
ppo,InvertedDoublePendulum-v5,0,251904,episode_reward,5576.3422310759615
ppo,InvertedDoublePendulum-v5,0,3072,eval_reward,51.872037457116285
ppo,InvertedDoublePendulum-v5,0,18432,eval_reward,43.64880384439372
ppo,InvertedDoublePendulum-v5,0,33792,eval_reward,43.06838468355614
ppo,InvertedDoublePendulum-v5,0,49152,eval_reward,56.27539775125206
ppo,InvertedDoublePendulum-v5,0,64512,eval_reward,54.37896104304434
ppo,InvertedDoublePendulum-v5,0,79872,eval_reward,20.248626879136637
ppo,InvertedDoublePendulum-v5,0,95232,eval_reward,20.248626879136637
ppo,InvertedDoublePendulum-v5,0,110592,eval_reward,20.250466214914237
ppo,InvertedDoublePendulum-v5,0,125952,eval_reward,20.293528579570893
ppo,InvertedDoublePendulum-v5,0,141312,eval_reward,20.802649456148668
ppo,InvertedDoublePendulum-v5,0,156672,eval_reward,20.80186505243028
ppo,InvertedDoublePendulum-v5,0,172032,eval_reward,20.800682172997075
ppo,InvertedDoublePendulum-v5,0,187392,eval_reward,20.294596676176585
ppo,InvertedDoublePendulum-v5,0,202752,eval_reward,20.248626879136637
ppo,InvertedDoublePendulum-v5,0,218112,eval_reward,20.248626879136637
ppo,InvertedDoublePendulum-v5,0,233472,eval_reward,25.842442239213074
ppo,InvertedDoublePendulum-v5,0,248832,eval_reward,29.472875291814777
ppo,InvertedDoublePendulum-v5,0,0,loss,303.9864609400431
ppo,InvertedDoublePendulum-v5,0,1,loss,226.7406176884969
ppo,InvertedDoublePendulum-v5,0,2,loss,198.8420670191447
ppo,InvertedDoublePendulum-v5,0,3,loss,128.90552277565
ppo,InvertedDoublePendulum-v5,0,4,loss,145.0012924830119
ppo,InvertedDoublePendulum-v5,0,5,loss,100.40493915875753
ppo,InvertedDoublePendulum-v5,0,6,loss,68.98957777023315
ppo,InvertedDoublePendulum-v5,0,7,loss,48.889025553067526
ppo,InvertedDoublePendulum-v5,0,8,loss,41.186798532803856
ppo,InvertedDoublePendulum-v5,0,9,loss,60.459055082003275
ppo,InvertedDoublePendulum-v5,0,10,loss,56.39443186918894
ppo,InvertedDoublePendulum-v5,0,11,loss,44.40197776556015
ppo,InvertedDoublePendulum-v5,0,12,loss,43.37484273115794
ppo,InvertedDoublePendulum-v5,0,13,loss,38.22520106633504
ppo,InvertedDoublePendulum-v5,0,14,loss,30.625044147173565
ppo,InvertedDoublePendulum-v5,0,15,loss,43.24778211911519
ppo,InvertedDoublePendulum-v5,0,16,loss,109.26939883232117
ppo,InvertedDoublePendulum-v5,0,17,loss,69.9069075345993
ppo,InvertedDoublePendulum-v5,0,18,loss,52.60183410644531
ppo,InvertedDoublePendulum-v5,0,19,loss,245.09414536158243
ppo,InvertedDoublePendulum-v5,0,20,loss,231.3086135864258
ppo,InvertedDoublePendulum-v5,0,21,loss,227.3199811299642
ppo,InvertedDoublePendulum-v5,0,22,loss,316.50129086176554
ppo,InvertedDoublePendulum-v5,0,23,loss,596.6302402496337
ppo,InvertedDoublePendulum-v5,0,24,loss,150.31937452952067
