algo,env,seed,step,metric,value
ppo,InvertedDoublePendulum-v5,0,8192,episode_reward,12535.891352715847
ppo,InvertedDoublePendulum-v5,0,16384,episode_reward,12915.888623594252
ppo,InvertedDoublePendulum-v5,0,24576,episode_reward,13476.16836868823
ppo,InvertedDoublePendulum-v5,0,32768,episode_reward,12995.723586042614
ppo,InvertedDoublePendulum-v5,0,40960,episode_reward,14383.710191867822
ppo,InvertedDoublePendulum-v5,0,49152,episode_reward,13249.19415551857
ppo,InvertedDoublePendulum-v5,0,57344,episode_reward,13033.265433525545
ppo,InvertedDoublePendulum-v5,0,65536,episode_reward,13042.143934669764
ppo,InvertedDoublePendulum-v5,0,73728,episode_reward,13000.033479489677
ppo,InvertedDoublePendulum-v5,0,81920,episode_reward,12995.371107916439
ppo,InvertedDoublePendulum-v5,0,90112,episode_reward,12970.55564752952
ppo,InvertedDoublePendulum-v5,0,98304,episode_reward,12997.13298772004
ppo,InvertedDoublePendulum-v5,0,106496,episode_reward,12921.21678414117
ppo,InvertedDoublePendulum-v5,0,114688,episode_reward,12937.316753707575
ppo,InvertedDoublePendulum-v5,0,122880,episode_reward,12890.101668707539
ppo,InvertedDoublePendulum-v5,0,131072,episode_reward,12918.17664863891
ppo,InvertedDoublePendulum-v5,0,139264,episode_reward,12938.581323127171
ppo,InvertedDoublePendulum-v5,0,147456,episode_reward,12930.270629562456
ppo,InvertedDoublePendulum-v5,0,155648,episode_reward,12939.72957615683
ppo,InvertedDoublePendulum-v5,0,163840,episode_reward,13000.889403234194
ppo,InvertedDoublePendulum-v5,0,172032,episode_reward,12996.28173577261
ppo,InvertedDoublePendulum-v5,0,180224,episode_reward,12980.073226560435
ppo,InvertedDoublePendulum-v5,0,188416,episode_reward,12928.651580281972
ppo,InvertedDoublePendulum-v5,0,196608,episode_reward,13031.602695546728
ppo,InvertedDoublePendulum-v5,0,204800,episode_reward,13083.55908049619
ppo,InvertedDoublePendulum-v5,0,212992,episode_reward,13095.787382477632
ppo,InvertedDoublePendulum-v5,0,221184,episode_reward,13114.625071650413
ppo,InvertedDoublePendulum-v5,0,229376,episode_reward,13165.666565303107
ppo,InvertedDoublePendulum-v5,0,237568,episode_reward,13262.940911151627
ppo,InvertedDoublePendulum-v5,0,245760,episode_reward,13313.280325770573
ppo,InvertedDoublePendulum-v5,0,253952,episode_reward,13372.45784080634
ppo,InvertedDoublePendulum-v5,0,8192,eval_reward,41.93534177399545
ppo,InvertedDoublePendulum-v5,0,90112,eval_reward,47.52250602065593
ppo,InvertedDoublePendulum-v5,0,172032,eval_reward,46.283833439445026
ppo,InvertedDoublePendulum-v5,0,253952,eval_reward,44.26263364951969
ppo,InvertedDoublePendulum-v5,0,0,loss,245.7885551929474
ppo,InvertedDoublePendulum-v5,0,1,loss,215.4737446308136
ppo,InvertedDoublePendulum-v5,0,2,loss,158.79724427461625
ppo,InvertedDoublePendulum-v5,0,3,loss,100.55881478190422
ppo,InvertedDoublePendulum-v5,0,4,loss,326.0213753223419
ppo,InvertedDoublePendulum-v5,0,5,loss,99.02793743014335
ppo,InvertedDoublePendulum-v5,0,6,loss,38.39436342418194
ppo,InvertedDoublePendulum-v5,0,7,loss,37.785443185269834
ppo,InvertedDoublePendulum-v5,0,8,loss,33.67958745881915
ppo,InvertedDoublePendulum-v5,0,9,loss,34.674884831905366
ppo,InvertedDoublePendulum-v5,0,10,loss,29.501551942527293
ppo,InvertedDoublePendulum-v5,0,11,loss,26.342671453207732
ppo,InvertedDoublePendulum-v5,0,12,loss,25.350770411640404
ppo,InvertedDoublePendulum-v5,0,13,loss,23.373603330552577
ppo,InvertedDoublePendulum-v5,0,14,loss,22.018354521691798
ppo,InvertedDoublePendulum-v5,0,15,loss,24.069975497573616
ppo,InvertedDoublePendulum-v5,0,16,loss,25.18922594562173
ppo,InvertedDoublePendulum-v5,0,17,loss,20.492997551709415
ppo,InvertedDoublePendulum-v5,0,18,loss,19.722225146740676
ppo,InvertedDoublePendulum-v5,0,19,loss,21.604796749353408
ppo,InvertedDoublePendulum-v5,0,20,loss,21.836900292336942
ppo,InvertedDoublePendulum-v5,0,21,loss,20.872153604403138
ppo,InvertedDoublePendulum-v5,0,22,loss,25.116876780986786
ppo,InvertedDoublePendulum-v5,0,23,loss,25.35800806134939
ppo,InvertedDoublePendulum-v5,0,24,loss,29.036836982518434
ppo,InvertedDoublePendulum-v5,0,25,loss,28.76496627777815
ppo,InvertedDoublePendulum-v5,0,26,loss,32.36079966574907
ppo,InvertedDoublePendulum-v5,0,27,loss,36.571963641047475
ppo,InvertedDoublePendulum-v5,0,28,loss,42.54532562196255
ppo,InvertedDoublePendulum-v5,0,29,loss,96.8872347176075
ppo,InvertedDoublePendulum-v5,0,30,loss,64.34934874176979
ppo,InvertedDoublePendulum-v5,42,8192,episode_reward,13108.704411599761
ppo,InvertedDoublePendulum-v5,42,16384,episode_reward,15202.371898312005
ppo,InvertedDoublePendulum-v5,42,24576,episode_reward,14153.535862061204
ppo,InvertedDoublePendulum-v5,42,32768,episode_reward,14842.513277741438
ppo,InvertedDoublePendulum-v5,42,40960,episode_reward,13496.622443905966
ppo,InvertedDoublePendulum-v5,42,49152,episode_reward,13027.093266174985
ppo,InvertedDoublePendulum-v5,42,57344,episode_reward,13057.704159691955
ppo,InvertedDoublePendulum-v5,42,65536,episode_reward,12826.094769858704
ppo,InvertedDoublePendulum-v5,42,73728,episode_reward,12870.264189334604
ppo,InvertedDoublePendulum-v5,42,81920,episode_reward,12890.13898639299
ppo,InvertedDoublePendulum-v5,42,90112,episode_reward,12930.491374518633
ppo,InvertedDoublePendulum-v5,42,98304,episode_reward,12923.424945277071
ppo,InvertedDoublePendulum-v5,42,106496,episode_reward,12981.371365103427
ppo,InvertedDoublePendulum-v5,42,114688,episode_reward,13041.484318659297
ppo,InvertedDoublePendulum-v5,42,122880,episode_reward,12953.480534079175
ppo,InvertedDoublePendulum-v5,42,131072,episode_reward,13070.682348244189
ppo,InvertedDoublePendulum-v5,42,139264,episode_reward,13067.501988500033
ppo,InvertedDoublePendulum-v5,42,147456,episode_reward,13027.480538925967
ppo,InvertedDoublePendulum-v5,42,155648,episode_reward,12910.413134506325
ppo,InvertedDoublePendulum-v5,42,163840,episode_reward,12988.50805597277
ppo,InvertedDoublePendulum-v5,42,172032,episode_reward,13076.913965380796
ppo,InvertedDoublePendulum-v5,42,180224,episode_reward,13066.645275039458
ppo,InvertedDoublePendulum-v5,42,188416,episode_reward,13047.446367855686
ppo,InvertedDoublePendulum-v5,42,196608,episode_reward,13208.70361588606
ppo,InvertedDoublePendulum-v5,42,204800,episode_reward,13005.827290848627
ppo,InvertedDoublePendulum-v5,42,212992,episode_reward,12974.618272261134
ppo,InvertedDoublePendulum-v5,42,221184,episode_reward,13146.690233133615
ppo,InvertedDoublePendulum-v5,42,229376,episode_reward,13096.398464055017
ppo,InvertedDoublePendulum-v5,42,237568,episode_reward,12998.230485017373
ppo,InvertedDoublePendulum-v5,42,245760,episode_reward,12947.73160635505
ppo,InvertedDoublePendulum-v5,42,253952,episode_reward,12965.152558287407
ppo,InvertedDoublePendulum-v5,42,8192,eval_reward,85.1238089934408
ppo,InvertedDoublePendulum-v5,42,90112,eval_reward,45.21758815861011
ppo,InvertedDoublePendulum-v5,42,172032,eval_reward,45.85749121459301
ppo,InvertedDoublePendulum-v5,42,253952,eval_reward,44.06366079571007
ppo,InvertedDoublePendulum-v5,42,0,loss,339.6335872292519
ppo,InvertedDoublePendulum-v5,42,1,loss,586.0283625125885
ppo,InvertedDoublePendulum-v5,42,2,loss,354.8240933418274
ppo,InvertedDoublePendulum-v5,42,3,loss,383.5264266967773
ppo,InvertedDoublePendulum-v5,42,4,loss,190.84312220215799
ppo,InvertedDoublePendulum-v5,42,5,loss,78.91162387728691
ppo,InvertedDoublePendulum-v5,42,6,loss,44.452092768251894
ppo,InvertedDoublePendulum-v5,42,7,loss,54.637690080702306
