algo,env,seed,step,metric,value
ppo,InvertedDoublePendulum-v5,0,1000,episode_reward,3013.3087676761434
ppo,InvertedDoublePendulum-v5,0,2000,episode_reward,3163.408591007455
ppo,InvertedDoublePendulum-v5,0,3000,episode_reward,3224.5376455943024
ppo,InvertedDoublePendulum-v5,0,4000,episode_reward,3424.8190290643515
ppo,InvertedDoublePendulum-v5,0,5000,episode_reward,3458.912682388086
ppo,InvertedDoublePendulum-v5,0,6000,episode_reward,3557.9324510220617
ppo,InvertedDoublePendulum-v5,0,7000,episode_reward,3655.366271201518
ppo,InvertedDoublePendulum-v5,0,8000,episode_reward,3702.1221021010683
ppo,InvertedDoublePendulum-v5,0,9000,episode_reward,3763.7224757937192
ppo,InvertedDoublePendulum-v5,0,10000,episode_reward,3829.1400008993946
ppo,InvertedDoublePendulum-v5,0,11000,episode_reward,3827.9237540653894
ppo,InvertedDoublePendulum-v5,0,12000,episode_reward,3952.8491720200063
ppo,InvertedDoublePendulum-v5,0,13000,episode_reward,4010.9663891072087
ppo,InvertedDoublePendulum-v5,0,14000,episode_reward,4047.759778538695
ppo,InvertedDoublePendulum-v5,0,15000,episode_reward,4110.66267059227
ppo,InvertedDoublePendulum-v5,0,16000,episode_reward,4138.71114182939
ppo,InvertedDoublePendulum-v5,0,17000,episode_reward,4182.564008082621
ppo,InvertedDoublePendulum-v5,0,18000,episode_reward,4181.072714273605
ppo,InvertedDoublePendulum-v5,0,19000,episode_reward,4221.7840959601435
ppo,InvertedDoublePendulum-v5,0,20000,episode_reward,4210.151478752747
ppo,InvertedDoublePendulum-v5,0,21000,episode_reward,4236.184973244047
ppo,InvertedDoublePendulum-v5,0,22000,episode_reward,4233.086197776496
ppo,InvertedDoublePendulum-v5,0,23000,episode_reward,4209.628400581864
ppo,InvertedDoublePendulum-v5,0,24000,episode_reward,4198.01816434312
ppo,InvertedDoublePendulum-v5,0,25000,episode_reward,4271.442597381045
ppo,InvertedDoublePendulum-v5,0,26000,episode_reward,4314.834146330976
ppo,InvertedDoublePendulum-v5,0,27000,episode_reward,4261.782337600102
ppo,InvertedDoublePendulum-v5,0,28000,episode_reward,4279.833448760079
ppo,InvertedDoublePendulum-v5,0,29000,episode_reward,4310.691632310269
ppo,InvertedDoublePendulum-v5,0,30000,episode_reward,4325.801894409378
ppo,InvertedDoublePendulum-v5,0,31000,episode_reward,4302.1481424725935
ppo,InvertedDoublePendulum-v5,0,32000,episode_reward,4344.538578134007
ppo,InvertedDoublePendulum-v5,0,33000,episode_reward,4316.863077501757
ppo,InvertedDoublePendulum-v5,0,34000,episode_reward,4375.043258192178
ppo,InvertedDoublePendulum-v5,0,35000,episode_reward,4364.80026823467
ppo,InvertedDoublePendulum-v5,0,36000,episode_reward,4372.708772338146
ppo,InvertedDoublePendulum-v5,0,37000,episode_reward,4332.776035612911
ppo,InvertedDoublePendulum-v5,0,38000,episode_reward,4386.569025926939
ppo,InvertedDoublePendulum-v5,0,39000,episode_reward,4377.919278551849
ppo,InvertedDoublePendulum-v5,0,40000,episode_reward,4400.090633797124
ppo,InvertedDoublePendulum-v5,0,41000,episode_reward,4367.017152048098
ppo,InvertedDoublePendulum-v5,0,42000,episode_reward,4401.555840118502
ppo,InvertedDoublePendulum-v5,0,43000,episode_reward,4410.271274503102
ppo,InvertedDoublePendulum-v5,0,44000,episode_reward,4431.030949928652
ppo,InvertedDoublePendulum-v5,0,45000,episode_reward,4390.946553827062
ppo,InvertedDoublePendulum-v5,0,46000,episode_reward,4404.30215130093
ppo,InvertedDoublePendulum-v5,0,47000,episode_reward,4444.365290057397
ppo,InvertedDoublePendulum-v5,0,48000,episode_reward,4434.723140613475
ppo,InvertedDoublePendulum-v5,0,49000,episode_reward,4412.589251812844
ppo,InvertedDoublePendulum-v5,0,50000,episode_reward,4509.598009943534
ppo,InvertedDoublePendulum-v5,0,51000,episode_reward,4480.053568431895
ppo,InvertedDoublePendulum-v5,0,52000,episode_reward,4492.86238535309
ppo,InvertedDoublePendulum-v5,0,53000,episode_reward,4445.9180379482705
ppo,InvertedDoublePendulum-v5,0,54000,episode_reward,4446.648990856312
ppo,InvertedDoublePendulum-v5,0,55000,episode_reward,4489.782162305987
ppo,InvertedDoublePendulum-v5,0,56000,episode_reward,3711.6420549559352
ppo,InvertedDoublePendulum-v5,0,57000,episode_reward,3681.943402013206
ppo,InvertedDoublePendulum-v5,0,58000,episode_reward,3664.3796431042642
ppo,InvertedDoublePendulum-v5,0,59000,episode_reward,3667.5649578530774
ppo,InvertedDoublePendulum-v5,0,60000,episode_reward,3749.903378337144
ppo,InvertedDoublePendulum-v5,0,61000,episode_reward,3807.0863538613617
ppo,InvertedDoublePendulum-v5,0,62000,episode_reward,3849.8367541841567
ppo,InvertedDoublePendulum-v5,0,63000,episode_reward,3847.1212084290537
