algo,env,seed,step,metric,value
ppo,InvertedDoublePendulum-v5,0,2048,episode_reward,6202.366441056834
ppo,InvertedDoublePendulum-v5,0,4096,episode_reward,6283.178703293325
ppo,InvertedDoublePendulum-v5,0,6144,episode_reward,6553.675028334296
ppo,InvertedDoublePendulum-v5,0,8192,episode_reward,6643.362484399367
ppo,InvertedDoublePendulum-v5,0,10240,episode_reward,6813.5059574822235
ppo,InvertedDoublePendulum-v5,0,12288,episode_reward,6905.647227828109
ppo,InvertedDoublePendulum-v5,0,14336,episode_reward,6853.5973087347975
ppo,InvertedDoublePendulum-v5,0,16384,episode_reward,6872.958392722374
ppo,InvertedDoublePendulum-v5,0,18432,episode_reward,6931.076378754752
ppo,InvertedDoublePendulum-v5,0,20480,episode_reward,6968.220761000798
ppo,InvertedDoublePendulum-v5,0,22528,episode_reward,7092.289396707921
ppo,InvertedDoublePendulum-v5,0,24576,episode_reward,7195.1699615851985
ppo,InvertedDoublePendulum-v5,0,26624,episode_reward,7183.836011365231
ppo,InvertedDoublePendulum-v5,0,28672,episode_reward,7157.781729759953
ppo,InvertedDoublePendulum-v5,0,30720,episode_reward,7155.738252976975
ppo,InvertedDoublePendulum-v5,0,32768,episode_reward,7150.569807015307
ppo,InvertedDoublePendulum-v5,0,34816,episode_reward,7034.3086271206785
ppo,InvertedDoublePendulum-v5,0,36864,episode_reward,7095.853214773971
ppo,InvertedDoublePendulum-v5,0,38912,episode_reward,7137.707227257142
ppo,InvertedDoublePendulum-v5,0,40960,episode_reward,7172.46407589024
ppo,InvertedDoublePendulum-v5,0,43008,episode_reward,7218.561187014171
ppo,InvertedDoublePendulum-v5,0,45056,episode_reward,7262.720116901097
ppo,InvertedDoublePendulum-v5,0,47104,episode_reward,7369.9979462115225
ppo,InvertedDoublePendulum-v5,0,49152,episode_reward,7064.511349944093
ppo,InvertedDoublePendulum-v5,0,51200,episode_reward,7102.986385764966
ppo,InvertedDoublePendulum-v5,0,53248,episode_reward,6918.223644661336
ppo,InvertedDoublePendulum-v5,0,55296,episode_reward,7159.909332531291
ppo,InvertedDoublePendulum-v5,0,57344,episode_reward,7237.966380234816
ppo,InvertedDoublePendulum-v5,0,59392,episode_reward,7257.420994305097
ppo,InvertedDoublePendulum-v5,0,61440,episode_reward,7190.765602983452
ppo,InvertedDoublePendulum-v5,0,63488,episode_reward,7228.522051175983
ppo,InvertedDoublePendulum-v5,0,65536,episode_reward,7294.165285460378
ppo,InvertedDoublePendulum-v5,0,67584,episode_reward,7222.274507027991
ppo,InvertedDoublePendulum-v5,0,69632,episode_reward,7246.925409923914
ppo,InvertedDoublePendulum-v5,0,71680,episode_reward,7300.914104799756
ppo,InvertedDoublePendulum-v5,0,73728,episode_reward,6928.816842262846
ppo,InvertedDoublePendulum-v5,0,75776,episode_reward,7119.069527326693
ppo,InvertedDoublePendulum-v5,0,77824,episode_reward,7074.960070981683
ppo,InvertedDoublePendulum-v5,0,79872,episode_reward,7351.483439472747
ppo,InvertedDoublePendulum-v5,0,81920,episode_reward,7201.543427574772
ppo,InvertedDoublePendulum-v5,0,83968,episode_reward,7153.888202958507
ppo,InvertedDoublePendulum-v5,0,86016,episode_reward,7143.443296060279
ppo,InvertedDoublePendulum-v5,0,88064,episode_reward,7139.379129476013
ppo,InvertedDoublePendulum-v5,0,90112,episode_reward,7257.605941446751
ppo,InvertedDoublePendulum-v5,0,92160,episode_reward,7217.08870908486
ppo,InvertedDoublePendulum-v5,0,94208,episode_reward,7272.527304845378
ppo,InvertedDoublePendulum-v5,0,96256,episode_reward,7344.156086690989
ppo,InvertedDoublePendulum-v5,0,98304,episode_reward,7324.445878096457
ppo,InvertedDoublePendulum-v5,0,100352,episode_reward,7270.078714148495
ppo,InvertedDoublePendulum-v5,0,102400,episode_reward,7236.06465505578
ppo,InvertedDoublePendulum-v5,0,104448,episode_reward,7216.684917397003
ppo,InvertedDoublePendulum-v5,0,106496,episode_reward,7247.162757082563
ppo,InvertedDoublePendulum-v5,0,108544,episode_reward,7236.810038296984
