algo,env,seed,step,metric,value
ppo,LunarLander-v3,0,256,episode_reward,-363.3584898045289
ppo,LunarLander-v3,0,512,episode_reward,-280.1866430588691
ppo,LunarLander-v3,0,768,episode_reward,-195.60390933899168
ppo,LunarLander-v3,0,1024,episode_reward,-284.4112397746477
ppo,LunarLander-v3,0,1280,episode_reward,-223.1278165180676
ppo,LunarLander-v3,0,1536,episode_reward,-424.5119243633277
ppo,LunarLander-v3,0,1792,episode_reward,-160.83929913987058
ppo,LunarLander-v3,0,2048,episode_reward,-206.23059010314708
ppo,LunarLander-v3,0,2304,episode_reward,-245.46356817557282
ppo,LunarLander-v3,0,2560,episode_reward,-123.57322257626576
ppo,LunarLander-v3,0,2816,episode_reward,-48.64743280979907
ppo,LunarLander-v3,0,3072,episode_reward,-90.28575029659422
ppo,LunarLander-v3,0,3328,episode_reward,-24.676962986227633
ppo,LunarLander-v3,0,3584,episode_reward,-115.46985454201675
ppo,LunarLander-v3,0,3840,episode_reward,-190.72990650379344
ppo,LunarLander-v3,0,4096,episode_reward,-240.28986468037016
ppo,LunarLander-v3,0,4352,episode_reward,-159.9222867146936
ppo,LunarLander-v3,0,4608,episode_reward,-157.87248499175732
ppo,LunarLander-v3,0,4864,episode_reward,-195.43892693444914
ppo,LunarLander-v3,0,5120,episode_reward,-22.782196605310837
ppo,LunarLander-v3,0,5376,episode_reward,-108.16575887550525
ppo,LunarLander-v3,0,5632,episode_reward,-107.15710823670133
ppo,LunarLander-v3,0,5888,episode_reward,-66.3127120999225
ppo,LunarLander-v3,0,6144,episode_reward,-65.72965181335874
ppo,LunarLander-v3,0,6400,episode_reward,-135.30612225176702
ppo,LunarLander-v3,0,6656,episode_reward,-243.20578276001658
ppo,LunarLander-v3,0,6912,episode_reward,-129.3442439148427
ppo,LunarLander-v3,0,7168,episode_reward,-378.76537563142324
ppo,LunarLander-v3,0,7424,episode_reward,-176.30173061083764
ppo,LunarLander-v3,0,7680,episode_reward,-236.28909427570014
ppo,LunarLander-v3,0,7936,episode_reward,-240.81730734511842
ppo,LunarLander-v3,0,8192,episode_reward,-126.42673488409964
ppo,LunarLander-v3,0,8448,episode_reward,-197.2713571786584
ppo,LunarLander-v3,0,8704,episode_reward,-149.248425215374
ppo,LunarLander-v3,0,8960,episode_reward,-53.759551910434034
ppo,LunarLander-v3,0,9216,episode_reward,-80.33998489670735
ppo,LunarLander-v3,0,9472,episode_reward,-90.1973603765974
ppo,LunarLander-v3,0,9728,episode_reward,-75.9365109075333
ppo,LunarLander-v3,0,9984,episode_reward,-81.40761638837826
ppo,LunarLander-v3,0,10240,episode_reward,-204.35931861306418
ppo,LunarLander-v3,0,10496,episode_reward,-136.06141916135283
ppo,LunarLander-v3,0,10752,episode_reward,-105.93893445008915
ppo,LunarLander-v3,0,11008,episode_reward,-58.75179570830472
ppo,LunarLander-v3,0,11264,episode_reward,-97.58079103082659
ppo,LunarLander-v3,0,11520,episode_reward,-109.72094022102297
ppo,LunarLander-v3,0,11776,episode_reward,-155.89768167884267
ppo,LunarLander-v3,0,12032,episode_reward,-50.39227197057946
ppo,LunarLander-v3,0,12288,episode_reward,-13.178900100408743
ppo,LunarLander-v3,0,12544,episode_reward,-20.595813546097318
ppo,LunarLander-v3,0,12800,episode_reward,-24.59013707702823
ppo,LunarLander-v3,0,13056,episode_reward,-3.282459244641429
ppo,LunarLander-v3,0,13312,episode_reward,-18.929720471388194
ppo,LunarLander-v3,0,13568,episode_reward,-60.27560198118284
ppo,LunarLander-v3,0,13824,episode_reward,-97.12115852758733
ppo,LunarLander-v3,0,14080,episode_reward,6.825435028270183
ppo,LunarLander-v3,0,14336,episode_reward,-76.65334107152977
ppo,LunarLander-v3,0,14592,episode_reward,18.528961091163726
ppo,LunarLander-v3,0,14848,episode_reward,-14.36490137179856
ppo,LunarLander-v3,0,15104,episode_reward,26.53596997867119
ppo,LunarLander-v3,0,15360,episode_reward,-52.31788130899448
ppo,LunarLander-v3,0,15616,episode_reward,23.33114227436987
ppo,LunarLander-v3,0,15872,episode_reward,23.846861437233198
ppo,LunarLander-v3,0,16128,episode_reward,-31.892954572457533
ppo,LunarLander-v3,0,16384,episode_reward,30.942272082389557
ppo,LunarLander-v3,0,16640,episode_reward,45.084688211717605
ppo,LunarLander-v3,0,16896,episode_reward,-1.7264788983866075
ppo,LunarLander-v3,0,17152,episode_reward,-81.73302418929768
ppo,LunarLander-v3,0,17408,episode_reward,-10.66616528440164
ppo,LunarLander-v3,0,17664,episode_reward,-39.92477003261134
ppo,LunarLander-v3,0,17920,episode_reward,35.95241821448386
ppo,LunarLander-v3,0,18176,episode_reward,-18.656008386236035
ppo,LunarLander-v3,0,18432,episode_reward,21.100684720238313
ppo,LunarLander-v3,0,18688,episode_reward,1.5246084053884719
ppo,LunarLander-v3,0,18944,episode_reward,3.0128665718275696
ppo,LunarLander-v3,0,19200,episode_reward,38.70288063764785
ppo,LunarLander-v3,0,19456,episode_reward,-33.96311234521559
ppo,LunarLander-v3,0,19712,episode_reward,-0.5897536924840612
ppo,LunarLander-v3,0,19968,episode_reward,51.86196354446059
ppo,LunarLander-v3,0,20224,episode_reward,69.68965472273923
ppo,LunarLander-v3,0,20480,episode_reward,7.110612684562934
ppo,LunarLander-v3,0,20736,episode_reward,10.117050228921594
ppo,LunarLander-v3,0,20992,episode_reward,23.32597516626433
ppo,LunarLander-v3,0,21248,episode_reward,46.953241338955486
ppo,LunarLander-v3,0,21504,episode_reward,22.313976040606644
ppo,LunarLander-v3,0,21760,episode_reward,6.638439458542271
ppo,LunarLander-v3,0,22016,episode_reward,65.06041027917838
ppo,LunarLander-v3,0,22272,episode_reward,54.75896047497999
ppo,LunarLander-v3,0,22528,episode_reward,47.92205423172482
ppo,LunarLander-v3,0,22784,episode_reward,24.551417742525608
ppo,LunarLander-v3,0,23040,episode_reward,10.100678670590145
ppo,LunarLander-v3,0,23296,episode_reward,9.93206296671883
ppo,LunarLander-v3,0,23552,episode_reward,46.21519821249052
ppo,LunarLander-v3,0,23808,episode_reward,49.17417121449022
ppo,LunarLander-v3,0,24064,episode_reward,34.43216240962815
ppo,LunarLander-v3,0,24320,episode_reward,21.754016129982926
ppo,LunarLander-v3,0,24576,episode_reward,57.900890336793296
ppo,LunarLander-v3,0,24832,episode_reward,28.369507349703515
ppo,LunarLander-v3,0,25088,episode_reward,-4.895681530741378
ppo,LunarLander-v3,0,25344,episode_reward,29.662585577955632
ppo,LunarLander-v3,0,25600,episode_reward,-6.975817636892796
ppo,LunarLander-v3,0,25856,episode_reward,35.94737971478136
ppo,LunarLander-v3,0,26112,episode_reward,48.96783133572123
ppo,LunarLander-v3,0,26368,episode_reward,32.369857101221314
ppo,LunarLander-v3,0,26624,episode_reward,23.2293594897003
ppo,LunarLander-v3,0,26880,episode_reward,23.152280774593862
ppo,LunarLander-v3,0,27136,episode_reward,43.968492338470156
ppo,LunarLander-v3,0,27392,episode_reward,47.7327177874352
ppo,LunarLander-v3,0,27648,episode_reward,42.72256888499102
ppo,LunarLander-v3,0,27904,episode_reward,31.278069211494902
ppo,LunarLander-v3,0,28160,episode_reward,36.16328214154898
ppo,LunarLander-v3,0,28416,episode_reward,25.27134140404985
ppo,LunarLander-v3,0,28672,episode_reward,35.33905957275989
ppo,LunarLander-v3,0,28928,episode_reward,5.51884104214887
ppo,LunarLander-v3,0,29184,episode_reward,25.678201569745717
ppo,LunarLander-v3,0,29440,episode_reward,20.39743137832448
ppo,LunarLander-v3,0,29696,episode_reward,18.853606266439183
ppo,LunarLander-v3,0,29952,episode_reward,26.387601636292157
ppo,LunarLander-v3,0,30208,episode_reward,6.308683882043699
ppo,LunarLander-v3,0,30464,episode_reward,46.38301795060088
ppo,LunarLander-v3,0,30720,episode_reward,44.62788090135526
ppo,LunarLander-v3,0,30976,episode_reward,30.159317947828182
ppo,LunarLander-v3,0,31232,episode_reward,43.86572866170865
ppo,LunarLander-v3,0,31488,episode_reward,23.21825058425813
ppo,LunarLander-v3,0,31744,episode_reward,19.42528657187883
ppo,LunarLander-v3,0,32000,episode_reward,21.907522972338622
ppo,LunarLander-v3,0,32256,episode_reward,29.9614965841603
ppo,LunarLander-v3,0,32512,episode_reward,36.84469625568875
ppo,LunarLander-v3,0,32768,episode_reward,5.091930857753458
ppo,LunarLander-v3,0,33024,episode_reward,29.49091888996824
ppo,LunarLander-v3,0,33280,episode_reward,23.13953766726512
ppo,LunarLander-v3,0,33536,episode_reward,47.93532892991776
ppo,LunarLander-v3,0,33792,episode_reward,37.70379235997828
ppo,LunarLander-v3,0,34048,episode_reward,33.98213057515387
ppo,LunarLander-v3,0,34304,episode_reward,18.507498867906488
ppo,LunarLander-v3,0,34560,episode_reward,20.619396984783787
ppo,LunarLander-v3,0,34816,episode_reward,30.890162329485666
ppo,LunarLander-v3,0,35072,episode_reward,33.65268173005523
ppo,LunarLander-v3,0,35328,episode_reward,60.75559812065639
ppo,LunarLander-v3,0,35584,episode_reward,44.9462132839639
ppo,LunarLander-v3,0,35840,episode_reward,44.7918252295678
ppo,LunarLander-v3,0,36096,episode_reward,10.720875323682456
ppo,LunarLander-v3,0,36352,episode_reward,56.62197673938477
ppo,LunarLander-v3,0,36608,episode_reward,43.54915650438488
ppo,LunarLander-v3,0,36864,episode_reward,30.47326090315064
ppo,LunarLander-v3,0,37120,episode_reward,26.62303523957175
ppo,LunarLander-v3,0,37376,episode_reward,39.07233703881778
ppo,LunarLander-v3,0,37632,episode_reward,18.45703575890908
ppo,LunarLander-v3,0,37888,episode_reward,19.958100389724166
ppo,LunarLander-v3,0,38144,episode_reward,29.65152435286735
ppo,LunarLander-v3,0,38400,episode_reward,26.056503179492033
ppo,LunarLander-v3,0,38656,episode_reward,28.970643719792346
ppo,LunarLander-v3,0,38912,episode_reward,64.97883326872562
ppo,LunarLander-v3,0,39168,episode_reward,55.8047719700263
ppo,LunarLander-v3,0,39424,episode_reward,56.16783821773863
ppo,LunarLander-v3,0,39680,episode_reward,42.483192898933666
ppo,LunarLander-v3,0,39936,episode_reward,24.34490939537954
ppo,LunarLander-v3,0,40192,episode_reward,11.729067551583249
ppo,LunarLander-v3,0,40448,episode_reward,48.72624696463621
ppo,LunarLander-v3,0,40704,episode_reward,51.680399269458675
ppo,LunarLander-v3,0,40960,episode_reward,40.735333417603336
ppo,LunarLander-v3,0,41216,episode_reward,18.17862460388235
ppo,LunarLander-v3,0,41472,episode_reward,50.878631425000876
ppo,LunarLander-v3,0,41728,episode_reward,33.54110454049777
ppo,LunarLander-v3,0,41984,episode_reward,35.28271988956327
ppo,LunarLander-v3,0,42240,episode_reward,39.94485455700583
ppo,LunarLander-v3,0,42496,episode_reward,53.44216853448511
ppo,LunarLander-v3,0,42752,episode_reward,40.26305630131204
ppo,LunarLander-v3,0,43008,episode_reward,37.5699908620639
ppo,LunarLander-v3,0,43264,episode_reward,59.96859864169962
ppo,LunarLander-v3,0,43520,episode_reward,34.40338146342594
ppo,LunarLander-v3,0,43776,episode_reward,27.305999683916237
ppo,LunarLander-v3,0,44032,episode_reward,9.52859864606405
ppo,LunarLander-v3,0,44288,episode_reward,48.656325527505686
ppo,LunarLander-v3,0,44544,episode_reward,35.318447182158565
ppo,LunarLander-v3,0,44800,episode_reward,57.83715990803152
ppo,LunarLander-v3,0,45056,episode_reward,35.33096873630689
ppo,LunarLander-v3,0,45312,episode_reward,35.539105717671816
ppo,LunarLander-v3,0,45568,episode_reward,18.03994000755355
ppo,LunarLander-v3,0,45824,episode_reward,47.278998784744
ppo,LunarLander-v3,0,46080,episode_reward,69.15061860478222
ppo,LunarLander-v3,0,46336,episode_reward,35.19500426477063
ppo,LunarLander-v3,0,46592,episode_reward,26.35977891282367
ppo,LunarLander-v3,0,46848,episode_reward,55.88309030585117
ppo,LunarLander-v3,0,47104,episode_reward,75.63610791657699
ppo,LunarLander-v3,0,47360,episode_reward,47.88375843781441
ppo,LunarLander-v3,0,47616,episode_reward,30.985753063364772
ppo,LunarLander-v3,0,47872,episode_reward,44.89418272616233
ppo,LunarLander-v3,0,48128,episode_reward,30.401925180821404
ppo,LunarLander-v3,0,48384,episode_reward,53.01419331958256
ppo,LunarLander-v3,0,48640,episode_reward,27.749175358804724
ppo,LunarLander-v3,0,48896,episode_reward,37.0392314639966
ppo,LunarLander-v3,0,49152,episode_reward,18.184457314844405
ppo,LunarLander-v3,0,49408,episode_reward,53.78206554981136
ppo,LunarLander-v3,0,49664,episode_reward,39.05593396061067
ppo,LunarLander-v3,0,49920,episode_reward,31.40804474440567
ppo,LunarLander-v3,0,50176,episode_reward,34.839599402337385
ppo,LunarLander-v3,0,50432,episode_reward,40.84217524891621
ppo,LunarLander-v3,0,50688,episode_reward,29.799495026063916
ppo,LunarLander-v3,0,50944,episode_reward,61.686366982497766
ppo,LunarLander-v3,0,51200,episode_reward,62.581796032320845
ppo,LunarLander-v3,0,51456,episode_reward,40.78330939686124
ppo,LunarLander-v3,0,51712,episode_reward,26.469392901574732
ppo,LunarLander-v3,0,51968,episode_reward,48.103460394642894
ppo,LunarLander-v3,0,52224,episode_reward,56.99417026575028
ppo,LunarLander-v3,0,52480,episode_reward,38.4161261999767
ppo,LunarLander-v3,0,52736,episode_reward,40.62833867256132
ppo,LunarLander-v3,0,52992,episode_reward,52.55229478774034
ppo,LunarLander-v3,0,53248,episode_reward,40.047911648629615
ppo,LunarLander-v3,0,53504,episode_reward,37.43339381273571
ppo,LunarLander-v3,0,53760,episode_reward,34.1278431551929
ppo,LunarLander-v3,0,54016,episode_reward,54.69616499600372
ppo,LunarLander-v3,0,54272,episode_reward,29.96901579854592
ppo,LunarLander-v3,0,54528,episode_reward,30.609238785990076
ppo,LunarLander-v3,0,54784,episode_reward,21.17549580158964
ppo,LunarLander-v3,0,55040,episode_reward,35.323885795117356
ppo,LunarLander-v3,0,55296,episode_reward,19.607977457117332
ppo,LunarLander-v3,0,55552,episode_reward,21.683526689789957
ppo,LunarLander-v3,0,55808,episode_reward,38.83319309495159
ppo,LunarLander-v3,0,56064,episode_reward,27.432465580524042
ppo,LunarLander-v3,0,56320,episode_reward,47.65903216716992
ppo,LunarLander-v3,0,56576,episode_reward,31.8858021394402
ppo,LunarLander-v3,0,56832,episode_reward,0.6382330211988081
ppo,LunarLander-v3,0,57088,episode_reward,39.603280684268796
ppo,LunarLander-v3,0,57344,episode_reward,39.57356279083049
ppo,LunarLander-v3,0,57600,episode_reward,6.72595735518382
ppo,LunarLander-v3,0,57856,episode_reward,60.44477261760044
ppo,LunarLander-v3,0,58112,episode_reward,54.26656156401048
ppo,LunarLander-v3,0,58368,episode_reward,32.949042870605176
ppo,LunarLander-v3,0,58624,episode_reward,50.45299593599896
ppo,LunarLander-v3,0,58880,episode_reward,32.57709876677063
ppo,LunarLander-v3,0,59136,episode_reward,35.98749478089526
ppo,LunarLander-v3,0,59392,episode_reward,15.945848663560952
ppo,LunarLander-v3,0,59648,episode_reward,32.424957953950276
ppo,LunarLander-v3,0,59904,episode_reward,46.77370221452759
ppo,LunarLander-v3,0,60160,episode_reward,35.43125794144227
ppo,LunarLander-v3,0,60416,episode_reward,37.67504081028636
ppo,LunarLander-v3,0,60672,episode_reward,17.923061547644362
ppo,LunarLander-v3,0,60928,episode_reward,28.773143275535386
ppo,LunarLander-v3,0,61184,episode_reward,25.251380583861973
ppo,LunarLander-v3,0,61440,episode_reward,37.31642240335744
ppo,LunarLander-v3,0,61696,episode_reward,39.54315374464297
ppo,LunarLander-v3,0,61952,episode_reward,41.152946607604505
ppo,LunarLander-v3,0,62208,episode_reward,31.087997059527485
ppo,LunarLander-v3,0,62464,episode_reward,15.91595250487942
