algo,env,seed,step,metric,value
ppo,Pendulum-v1,0,8192,episode_reward,-11945.078534910312
ppo,Pendulum-v1,0,16384,episode_reward,-12633.845399507054
ppo,Pendulum-v1,0,24576,episode_reward,-12008.426003732367
ppo,Pendulum-v1,0,32768,episode_reward,-11188.722807322223
ppo,Pendulum-v1,0,40960,episode_reward,-12210.659646507711
ppo,Pendulum-v1,0,49152,episode_reward,-11761.289000269027
ppo,Pendulum-v1,0,57344,episode_reward,-11624.378530530103
ppo,Pendulum-v1,0,65536,episode_reward,-10761.656746377308
ppo,Pendulum-v1,0,73728,episode_reward,-10966.002873494845
ppo,Pendulum-v1,0,81920,episode_reward,-10572.100751390923
ppo,Pendulum-v1,0,90112,episode_reward,-10301.584574595297
ppo,Pendulum-v1,0,98304,episode_reward,-10515.045489798234
ppo,Pendulum-v1,0,106496,episode_reward,-10584.208356372836
ppo,Pendulum-v1,0,114688,episode_reward,-10391.935220757901
ppo,Pendulum-v1,0,122880,episode_reward,-10798.568214265188
ppo,Pendulum-v1,0,131072,episode_reward,-10556.893777653013
ppo,Pendulum-v1,0,139264,episode_reward,-10680.744653554184
ppo,Pendulum-v1,0,147456,episode_reward,-10303.284188810576
ppo,Pendulum-v1,0,155648,episode_reward,-10670.428655325477
ppo,Pendulum-v1,0,163840,episode_reward,-10270.074024758742
ppo,Pendulum-v1,0,172032,episode_reward,-10564.250116175504
ppo,Pendulum-v1,0,180224,episode_reward,-10057.344538437943
ppo,Pendulum-v1,0,188416,episode_reward,-9952.9825890032
ppo,Pendulum-v1,0,196608,episode_reward,-10217.13425366845
ppo,Pendulum-v1,0,204800,episode_reward,-9958.620363883745
ppo,Pendulum-v1,0,212992,episode_reward,-9561.746096173394
ppo,Pendulum-v1,0,221184,episode_reward,-9214.421618050901
ppo,Pendulum-v1,0,229376,episode_reward,-9232.804060053797
ppo,Pendulum-v1,0,237568,episode_reward,-8734.364054914487
ppo,Pendulum-v1,0,245760,episode_reward,-8953.925374540517
ppo,Pendulum-v1,0,253952,episode_reward,-8899.660280570986
ppo,Pendulum-v1,0,8192,eval_reward,-1199.7286964744808
ppo,Pendulum-v1,0,90112,eval_reward,-1021.5018902901098
