algo,env,seed,step,metric,value
ppo,Pendulum-v1,0,1024,episode_reward,-1552.848406011598
ppo,Pendulum-v1,0,2048,episode_reward,-1503.3416462906466
ppo,Pendulum-v1,0,3072,episode_reward,-1533.045011653227
ppo,Pendulum-v1,0,4096,episode_reward,-1403.858640735619
ppo,Pendulum-v1,0,5120,episode_reward,-1443.7661288215552
ppo,Pendulum-v1,0,6144,episode_reward,-1645.774591665413
ppo,Pendulum-v1,0,7168,episode_reward,-1602.5067848236233
ppo,Pendulum-v1,0,8192,episode_reward,-1522.3205298646478
ppo,Pendulum-v1,0,9216,episode_reward,-1527.8873303061553
ppo,Pendulum-v1,0,10240,episode_reward,-1390.3954026874867
ppo,Pendulum-v1,0,11264,episode_reward,-1540.2956224102463
ppo,Pendulum-v1,0,12288,episode_reward,-1683.6874921848869
ppo,Pendulum-v1,0,13312,episode_reward,-1341.25878324626
ppo,Pendulum-v1,0,14336,episode_reward,-1540.8530295969765
ppo,Pendulum-v1,0,15360,episode_reward,-1481.9402069077091
ppo,Pendulum-v1,0,16384,episode_reward,-1601.7831517104157
ppo,Pendulum-v1,0,17408,episode_reward,-1499.743552805381
ppo,Pendulum-v1,0,18432,episode_reward,-1589.1361439233913
ppo,Pendulum-v1,0,19456,episode_reward,-1383.8689640523025
ppo,Pendulum-v1,0,20480,episode_reward,-1626.4995586327761
ppo,Pendulum-v1,0,21504,episode_reward,-1331.3388332720035
ppo,Pendulum-v1,0,22528,episode_reward,-1334.6103152779206
ppo,Pendulum-v1,0,23552,episode_reward,-1332.4161364651486
ppo,Pendulum-v1,0,24576,episode_reward,-1484.6991474257825
ppo,Pendulum-v1,0,25600,episode_reward,-1374.0508556230948
ppo,Pendulum-v1,0,26624,episode_reward,-1804.260167542952
ppo,Pendulum-v1,0,27648,episode_reward,-1360.2995765951318
ppo,Pendulum-v1,0,28672,episode_reward,-1614.6346052720546
ppo,Pendulum-v1,0,29696,episode_reward,-1427.5204323402543
ppo,Pendulum-v1,0,30720,episode_reward,-1319.6679281113636
ppo,Pendulum-v1,0,31744,episode_reward,-1423.64425974733
ppo,Pendulum-v1,0,32768,episode_reward,-1318.1144961921295
ppo,Pendulum-v1,0,33792,episode_reward,-1388.258356933444
ppo,Pendulum-v1,0,34816,episode_reward,-1483.1598002355086
ppo,Pendulum-v1,0,35840,episode_reward,-1454.535841390605
ppo,Pendulum-v1,0,36864,episode_reward,-1476.6372326328117
ppo,Pendulum-v1,0,37888,episode_reward,-1431.94674119169
ppo,Pendulum-v1,0,38912,episode_reward,-1466.7062873632453
ppo,Pendulum-v1,0,39936,episode_reward,-1394.5564744605995
ppo,Pendulum-v1,0,40960,episode_reward,-1370.2438596024635
ppo,Pendulum-v1,0,41984,episode_reward,-1312.4040641054523
ppo,Pendulum-v1,0,43008,episode_reward,-1400.8878622517134
ppo,Pendulum-v1,0,44032,episode_reward,-1351.5161473498276
ppo,Pendulum-v1,0,45056,episode_reward,-1481.9779464560922
ppo,Pendulum-v1,0,46080,episode_reward,-1311.4461780041158
ppo,Pendulum-v1,0,47104,episode_reward,-1369.629092801999
ppo,Pendulum-v1,0,48128,episode_reward,-1233.4746313775406
ppo,Pendulum-v1,0,49152,episode_reward,-1362.8270317115634
ppo,Pendulum-v1,0,50176,episode_reward,-1419.8813384844354
ppo,Pendulum-v1,0,51200,episode_reward,-1450.590290429237
ppo,Pendulum-v1,0,52224,episode_reward,-1254.7476962602857
ppo,Pendulum-v1,0,53248,episode_reward,-1386.3491512619112
ppo,Pendulum-v1,0,54272,episode_reward,-1346.7605930289376
ppo,Pendulum-v1,0,55296,episode_reward,-1357.5525378025113
ppo,Pendulum-v1,0,56320,episode_reward,-1264.15899242196
ppo,Pendulum-v1,0,57344,episode_reward,-1324.6326622913746
ppo,Pendulum-v1,0,58368,episode_reward,-1321.4087425133666
ppo,Pendulum-v1,0,59392,episode_reward,-1437.3281201733396
ppo,Pendulum-v1,0,60416,episode_reward,-1324.3634209629508
ppo,Pendulum-v1,0,1024,eval_reward,-1110.321501565221
ppo,Pendulum-v1,0,11264,eval_reward,-1095.2044467744006
ppo,Pendulum-v1,0,21504,eval_reward,-1082.9911584459362
ppo,Pendulum-v1,0,31744,eval_reward,-1072.2666332027854
ppo,Pendulum-v1,0,41984,eval_reward,-1038.9424852898187
ppo,Pendulum-v1,0,52224,eval_reward,-991.6989684289234
ppo,Pendulum-v1,0,0,loss,7544.519470214844
ppo,Pendulum-v1,0,1,loss,3677.4355865478515
ppo,Pendulum-v1,0,2,loss,5314.7687316894535
ppo,Pendulum-v1,0,3,loss,5797.683944702148
ppo,Pendulum-v1,0,4,loss,4632.593157958984
ppo,Pendulum-v1,0,5,loss,4255.952592468262
ppo,Pendulum-v1,0,6,loss,3874.066775512695
ppo,Pendulum-v1,0,7,loss,3995.717991638184
ppo,Pendulum-v1,0,8,loss,3576.794459533691
ppo,Pendulum-v1,0,9,loss,3667.0259872436523
ppo,Pendulum-v1,0,10,loss,4342.915002441407
ppo,Pendulum-v1,0,11,loss,4457.091613769531
ppo,Pendulum-v1,0,12,loss,3123.527297973633
ppo,Pendulum-v1,0,13,loss,4060.32296295166
ppo,Pendulum-v1,0,14,loss,4329.652586364746
ppo,Pendulum-v1,0,15,loss,4590.281652832031
ppo,Pendulum-v1,0,16,loss,3215.934130859375
ppo,Pendulum-v1,0,17,loss,3960.0647583007812
ppo,Pendulum-v1,0,18,loss,3107.1652908325195
ppo,Pendulum-v1,0,19,loss,5275.756764221192
ppo,Pendulum-v1,0,20,loss,2426.062163543701
ppo,Pendulum-v1,0,21,loss,2944.4641403198243
ppo,Pendulum-v1,0,22,loss,3000.086280822754
ppo,Pendulum-v1,0,23,loss,3277.63191986084
ppo,Pendulum-v1,0,24,loss,3996.339334106445
ppo,Pendulum-v1,0,25,loss,5655.893698120117
ppo,Pendulum-v1,0,26,loss,2498.8587966918944
ppo,Pendulum-v1,0,27,loss,4658.249811553955
ppo,Pendulum-v1,0,28,loss,3169.8445907592773
ppo,Pendulum-v1,0,29,loss,2769.7494102478026
ppo,Pendulum-v1,0,30,loss,2982.6968643188475
ppo,Pendulum-v1,0,31,loss,2473.663610076904
ppo,Pendulum-v1,0,32,loss,2549.6476989746093
ppo,Pendulum-v1,0,33,loss,2871.388883972168
ppo,Pendulum-v1,0,34,loss,3423.7540924072264
ppo,Pendulum-v1,0,35,loss,3320.1485076904296
ppo,Pendulum-v1,0,36,loss,3435.0836441040037
ppo,Pendulum-v1,0,37,loss,3802.4084854125977
ppo,Pendulum-v1,0,38,loss,3734.5190727233885
ppo,Pendulum-v1,0,39,loss,3401.9507400512693
ppo,Pendulum-v1,0,40,loss,2867.199069213867
ppo,Pendulum-v1,0,41,loss,2911.9361923217775
ppo,Pendulum-v1,0,42,loss,3272.787215423584
ppo,Pendulum-v1,0,43,loss,2928.0623306274415
ppo,Pendulum-v1,0,44,loss,3092.2175453186037
ppo,Pendulum-v1,0,45,loss,2329.9178680419923
ppo,Pendulum-v1,0,46,loss,2891.9954566955566
ppo,Pendulum-v1,0,47,loss,2382.4830833435058
ppo,Pendulum-v1,0,48,loss,2581.23465423584
ppo,Pendulum-v1,0,49,loss,2636.2393836975098
ppo,Pendulum-v1,0,50,loss,3022.962257385254
ppo,Pendulum-v1,0,51,loss,2500.265677642822
ppo,Pendulum-v1,0,52,loss,2684.219122314453
ppo,Pendulum-v1,0,53,loss,2665.3717552185058
ppo,Pendulum-v1,0,54,loss,2496.2459228515627
ppo,Pendulum-v1,0,55,loss,2736.700345611572
ppo,Pendulum-v1,0,56,loss,2821.3105758666993
ppo,Pendulum-v1,0,57,loss,2634.9861694335937
ppo,Pendulum-v1,0,58,loss,2713.70979385376
ppo,Pendulum-v1,42,1024,episode_reward,-1803.524655144418
ppo,Pendulum-v1,42,2048,episode_reward,-1870.6835415138403
ppo,Pendulum-v1,42,3072,episode_reward,-1599.529184204517
