algo,env,seed,step,metric,value
td3,Pendulum-v1,0,200,episode_reward,-1804.9619156375086
td3,Pendulum-v1,0,400,episode_reward,-1205.8344844580247
td3,Pendulum-v1,0,600,episode_reward,-1390.0873429051921
td3,Pendulum-v1,0,800,episode_reward,-1397.0024484533612
td3,Pendulum-v1,0,1000,episode_reward,-1448.1820716076998
td3,Pendulum-v1,0,1200,episode_reward,-1473.8680017632144
td3,Pendulum-v1,0,1400,episode_reward,-1452.6202581376456
td3,Pendulum-v1,0,1600,episode_reward,-1497.6525104995712
td3,Pendulum-v1,0,1800,episode_reward,-1474.9917547096122
td3,Pendulum-v1,0,2000,episode_reward,-1515.849171208468
td3,Pendulum-v1,0,2200,episode_reward,-1435.6850159133173
td3,Pendulum-v1,0,2400,episode_reward,-1256.023594198811
td3,Pendulum-v1,0,2600,episode_reward,-1516.32773182258
td3,Pendulum-v1,0,2800,episode_reward,-1396.3704331086105
td3,Pendulum-v1,0,3000,episode_reward,-1356.9719092928776
td3,Pendulum-v1,0,3200,episode_reward,-1541.8638091760815
td3,Pendulum-v1,0,3400,episode_reward,-1128.851973571757
td3,Pendulum-v1,0,3600,episode_reward,-1034.4174124799981
td3,Pendulum-v1,0,3800,episode_reward,-1239.1352258760155
td3,Pendulum-v1,0,4000,episode_reward,-1053.3030472137752
td3,Pendulum-v1,0,4200,episode_reward,-1028.9465723901412
td3,Pendulum-v1,0,4400,episode_reward,-998.0482582141669
td3,Pendulum-v1,0,4600,episode_reward,-998.6616888078036
td3,Pendulum-v1,0,4800,episode_reward,-1066.4807484415321
td3,Pendulum-v1,0,5000,episode_reward,-877.279696211069
td3,Pendulum-v1,0,5200,episode_reward,-998.4584812372702
td3,Pendulum-v1,0,5400,episode_reward,-757.9565767631968
td3,Pendulum-v1,0,5600,episode_reward,-905.051083990717
td3,Pendulum-v1,0,5800,episode_reward,-1028.217578134049
td3,Pendulum-v1,0,6000,episode_reward,-1145.5863005567508
td3,Pendulum-v1,0,6200,episode_reward,-1178.6224143254979
td3,Pendulum-v1,0,6400,episode_reward,-1103.6975370346483
td3,Pendulum-v1,0,6600,episode_reward,-642.720888062933
td3,Pendulum-v1,0,6800,episode_reward,-1035.3090677991597
td3,Pendulum-v1,0,7000,episode_reward,-761.0920565173699
td3,Pendulum-v1,0,7200,episode_reward,-795.0706038913075
td3,Pendulum-v1,0,7400,episode_reward,-642.7075612064457
td3,Pendulum-v1,0,7600,episode_reward,-734.208225778464
td3,Pendulum-v1,0,7800,episode_reward,-834.7904917013173
td3,Pendulum-v1,0,8000,episode_reward,-806.826943504308
td3,Pendulum-v1,0,8200,episode_reward,-743.0108056536262
td3,Pendulum-v1,0,8400,episode_reward,-777.363231464685
td3,Pendulum-v1,0,8600,episode_reward,-776.2278815324577
td3,Pendulum-v1,0,8800,episode_reward,-779.579823827157
td3,Pendulum-v1,0,9000,episode_reward,-697.5388851663084
td3,Pendulum-v1,0,9200,episode_reward,-726.4497110555367
td3,Pendulum-v1,0,9400,episode_reward,-611.7597387965629
td3,Pendulum-v1,0,9600,episode_reward,-519.8295952132783
td3,Pendulum-v1,0,9800,episode_reward,-503.2994641913868
td3,Pendulum-v1,0,10000,episode_reward,-515.1679562360575
td3,Pendulum-v1,0,10200,episode_reward,-455.6749619153262
td3,Pendulum-v1,0,10400,episode_reward,-508.8199784560049
td3,Pendulum-v1,0,10600,episode_reward,-274.52355734518534
td3,Pendulum-v1,0,10800,episode_reward,-722.034539751201
td3,Pendulum-v1,0,11000,episode_reward,-389.6522921784454
td3,Pendulum-v1,0,11200,episode_reward,-383.4734352248673
td3,Pendulum-v1,0,11400,episode_reward,-379.7583019554793
td3,Pendulum-v1,0,11600,episode_reward,-534.7435458707047
td3,Pendulum-v1,0,11800,episode_reward,-510.38665825891974
td3,Pendulum-v1,0,12000,episode_reward,-381.4352235269748
td3,Pendulum-v1,0,12200,episode_reward,-735.2913912434406
td3,Pendulum-v1,0,12400,episode_reward,-380.7936660013073
td3,Pendulum-v1,0,12600,episode_reward,-510.5178187092467
td3,Pendulum-v1,0,12800,episode_reward,-366.2792541145744
td3,Pendulum-v1,0,13000,episode_reward,-258.3342400495976
td3,Pendulum-v1,0,13200,episode_reward,-250.03582562451544
td3,Pendulum-v1,0,13400,episode_reward,-249.8628837728982
td3,Pendulum-v1,0,13600,episode_reward,-120.54950111319518
td3,Pendulum-v1,0,13800,episode_reward,-1670.8751087991095
td3,Pendulum-v1,0,14000,episode_reward,-129.42039526345434
td3,Pendulum-v1,0,14200,episode_reward,-382.2525839620423
td3,Pendulum-v1,0,14400,episode_reward,-260.28932111542434
td3,Pendulum-v1,0,14600,episode_reward,-326.03565673788336
td3,Pendulum-v1,0,14800,episode_reward,-3.450585230045172
td3,Pendulum-v1,0,15000,episode_reward,-506.98505969528344
td3,Pendulum-v1,0,15200,episode_reward,-380.3106803244762
td3,Pendulum-v1,0,15400,episode_reward,-252.67994059060183
td3,Pendulum-v1,0,15600,episode_reward,-415.6374041277625
td3,Pendulum-v1,0,15800,episode_reward,-253.91746822586515
td3,Pendulum-v1,0,16000,episode_reward,-124.76624935046121
td3,Pendulum-v1,0,16200,episode_reward,-0.3456812728886939
td3,Pendulum-v1,0,16400,episode_reward,-120.73752596964599
td3,Pendulum-v1,0,16600,episode_reward,-124.89856524504428
td3,Pendulum-v1,0,16800,episode_reward,-241.83979793211256
td3,Pendulum-v1,0,17000,episode_reward,-126.36009008217073
td3,Pendulum-v1,0,17200,episode_reward,-120.98867280085604
td3,Pendulum-v1,0,17400,episode_reward,-236.39121551545168
td3,Pendulum-v1,0,17600,episode_reward,-122.45584464961844
td3,Pendulum-v1,0,17800,episode_reward,-238.63812992299123
td3,Pendulum-v1,0,18000,episode_reward,-246.4669842757852
td3,Pendulum-v1,0,18200,episode_reward,-246.71551058435858
td3,Pendulum-v1,0,18400,episode_reward,-122.8845870968121
td3,Pendulum-v1,0,18600,episode_reward,-128.81749493626774
td3,Pendulum-v1,0,18800,episode_reward,-130.5674656045077
td3,Pendulum-v1,0,19000,episode_reward,-250.1795001232362
td3,Pendulum-v1,0,19200,episode_reward,-0.262792749331522
td3,Pendulum-v1,0,19400,episode_reward,-368.22349403820795
td3,Pendulum-v1,0,19600,episode_reward,-350.0041892641582
td3,Pendulum-v1,0,19800,episode_reward,-367.0426161170301
td3,Pendulum-v1,0,20000,episode_reward,-120.8131147042547
td3,Pendulum-v1,0,20200,episode_reward,-126.19996635375819
td3,Pendulum-v1,0,20400,episode_reward,-128.5273806771803
td3,Pendulum-v1,0,20600,episode_reward,-289.2804576555195
td3,Pendulum-v1,0,20800,episode_reward,-0.08451433562223495
td3,Pendulum-v1,0,21000,episode_reward,-244.3175100443383
td3,Pendulum-v1,0,21200,episode_reward,-286.0359301319729
td3,Pendulum-v1,0,21400,episode_reward,-234.73647359771843
td3,Pendulum-v1,0,21600,episode_reward,-239.98820678761584
td3,Pendulum-v1,0,21800,episode_reward,-235.90664948797206
td3,Pendulum-v1,0,22000,episode_reward,-253.61324477884
td3,Pendulum-v1,0,22200,episode_reward,-226.86579878428802
td3,Pendulum-v1,0,22400,episode_reward,-237.9145685543524
td3,Pendulum-v1,0,22600,episode_reward,-0.27016701200458415
td3,Pendulum-v1,0,22800,episode_reward,-122.27217724089286
td3,Pendulum-v1,0,23000,episode_reward,-119.8006004510757
td3,Pendulum-v1,0,23200,episode_reward,-0.7665507965168039
td3,Pendulum-v1,0,23400,episode_reward,-237.85519962439034
td3,Pendulum-v1,0,23600,episode_reward,-127.11042248945526
td3,Pendulum-v1,0,23800,episode_reward,-0.2259240629382175
td3,Pendulum-v1,0,24000,episode_reward,-256.8720125520991
td3,Pendulum-v1,0,24200,episode_reward,-117.89174893506943
td3,Pendulum-v1,0,24400,episode_reward,-116.9609640630237
td3,Pendulum-v1,0,24600,episode_reward,-121.37155917890455
td3,Pendulum-v1,0,24800,episode_reward,-279.1719949601268
td3,Pendulum-v1,0,25000,episode_reward,-123.83108363581516
td3,Pendulum-v1,0,25200,episode_reward,-353.66626982060956
td3,Pendulum-v1,0,25400,episode_reward,-0.6640573516207592
td3,Pendulum-v1,0,25600,episode_reward,-246.89119003107155
td3,Pendulum-v1,0,25800,episode_reward,-118.00516975901023
td3,Pendulum-v1,0,26000,episode_reward,-118.72008044064746
td3,Pendulum-v1,0,26200,episode_reward,-119.89872523734384
td3,Pendulum-v1,0,26400,episode_reward,-122.83726333935405
td3,Pendulum-v1,0,26600,episode_reward,-0.7729322285787825
td3,Pendulum-v1,0,26800,episode_reward,-125.50722506575238
td3,Pendulum-v1,0,27000,episode_reward,-117.89171174431019
td3,Pendulum-v1,0,27200,episode_reward,-244.0638873736333
td3,Pendulum-v1,0,27400,episode_reward,-115.1850126352049
td3,Pendulum-v1,0,27600,episode_reward,-243.14209697845348
td3,Pendulum-v1,0,27800,episode_reward,-349.1934694494634
td3,Pendulum-v1,0,28000,episode_reward,-1.880288891728262
td3,Pendulum-v1,0,28200,episode_reward,-240.91818824162073
td3,Pendulum-v1,0,28400,episode_reward,-237.75496653989617
td3,Pendulum-v1,0,28600,episode_reward,-122.8557887724507
td3,Pendulum-v1,0,28800,episode_reward,-3.4700568690602682
td3,Pendulum-v1,0,29000,episode_reward,-124.78619821782334
td3,Pendulum-v1,0,29200,episode_reward,-2.14460336794721
td3,Pendulum-v1,0,29400,episode_reward,-128.50676979459118
td3,Pendulum-v1,0,29600,episode_reward,-250.45428561589588
