algo,env,seed,step,metric,value
td3,Pendulum-v1,0,200,episode_reward,-1835.5981921650787
td3,Pendulum-v1,0,400,episode_reward,-1379.1871238306132
td3,Pendulum-v1,0,600,episode_reward,-1388.521819006485
td3,Pendulum-v1,0,800,episode_reward,-1461.1603594785417
td3,Pendulum-v1,0,1000,episode_reward,-1587.8186993238112
td3,Pendulum-v1,0,1200,episode_reward,-1595.9814842446776
td3,Pendulum-v1,0,1400,episode_reward,-1556.3656156015838
td3,Pendulum-v1,0,1600,episode_reward,-1602.7088284338106
td3,Pendulum-v1,0,1800,episode_reward,-1529.7582391000024
td3,Pendulum-v1,0,2000,episode_reward,-1540.0406571008073
td3,Pendulum-v1,0,2200,episode_reward,-1485.7326688391433
td3,Pendulum-v1,0,2400,episode_reward,-1446.0212601825544
td3,Pendulum-v1,0,2600,episode_reward,-1521.5096806532233
td3,Pendulum-v1,0,2800,episode_reward,-1476.5318836000333
td3,Pendulum-v1,0,3000,episode_reward,-1477.521862984757
td3,Pendulum-v1,0,3200,episode_reward,-1529.5684842487694
td3,Pendulum-v1,0,3400,episode_reward,-1310.4653737675508
td3,Pendulum-v1,0,3600,episode_reward,-1328.88554034964
td3,Pendulum-v1,0,3800,episode_reward,-1525.1203960839896
td3,Pendulum-v1,0,4000,episode_reward,-1383.4399807848347
td3,Pendulum-v1,0,4200,episode_reward,-1347.7657107721361
td3,Pendulum-v1,0,4400,episode_reward,-1309.5849603078955
td3,Pendulum-v1,0,4600,episode_reward,-1390.3543429596136
td3,Pendulum-v1,0,4800,episode_reward,-1506.3230194938735
td3,Pendulum-v1,0,5000,episode_reward,-1327.815040721121
td3,Pendulum-v1,0,5200,episode_reward,-1374.468309192616
td3,Pendulum-v1,0,5400,episode_reward,-1276.1779023812626
td3,Pendulum-v1,0,5600,episode_reward,-1195.487525659326
td3,Pendulum-v1,0,5800,episode_reward,-1306.6681658065766
td3,Pendulum-v1,0,6000,episode_reward,-1218.4095425837006
td3,Pendulum-v1,0,6200,episode_reward,-1511.8422122357397
td3,Pendulum-v1,0,6400,episode_reward,-1249.9473174030268
td3,Pendulum-v1,0,6600,episode_reward,-1278.8782420138227
td3,Pendulum-v1,0,6800,episode_reward,-1202.7737473484676
td3,Pendulum-v1,0,7000,episode_reward,-1191.6453056574112
td3,Pendulum-v1,0,7200,episode_reward,-1157.717514199606
td3,Pendulum-v1,0,7400,episode_reward,-1044.5328810116519
td3,Pendulum-v1,0,7600,episode_reward,-1178.1241042885174
td3,Pendulum-v1,0,7800,episode_reward,-1317.573489798481
td3,Pendulum-v1,0,8000,episode_reward,-1187.1534371104744
td3,Pendulum-v1,0,8200,episode_reward,-1096.1344601574751
td3,Pendulum-v1,0,8400,episode_reward,-1156.569603371859
td3,Pendulum-v1,0,8600,episode_reward,-1163.4029542027743
td3,Pendulum-v1,0,8800,episode_reward,-1228.7431634193201
td3,Pendulum-v1,0,9000,episode_reward,-1216.530683444051
td3,Pendulum-v1,0,9200,episode_reward,-1245.4724557034558
td3,Pendulum-v1,0,9400,episode_reward,-1237.5579606092656
td3,Pendulum-v1,0,9600,episode_reward,-1209.2707335975663
td3,Pendulum-v1,0,9800,episode_reward,-1194.870962083906
td3,Pendulum-v1,0,10000,episode_reward,-1063.1256881091213
td3,Pendulum-v1,0,10200,episode_reward,-1086.6685919327265
td3,Pendulum-v1,0,10400,episode_reward,-1129.1215806454147
td3,Pendulum-v1,0,10600,episode_reward,-958.8708729341532
td3,Pendulum-v1,0,10800,episode_reward,-1391.2412712653645
td3,Pendulum-v1,0,11000,episode_reward,-965.9378079330795
td3,Pendulum-v1,0,11200,episode_reward,-1013.3413430877133
td3,Pendulum-v1,0,11400,episode_reward,-1055.9385152525624
td3,Pendulum-v1,0,11600,episode_reward,-1098.51673645408
td3,Pendulum-v1,0,11800,episode_reward,-1064.6091089663466
td3,Pendulum-v1,0,12000,episode_reward,-971.036999455713
td3,Pendulum-v1,0,12200,episode_reward,-1098.5501927035216
td3,Pendulum-v1,0,12400,episode_reward,-1028.8848012143822
td3,Pendulum-v1,0,12600,episode_reward,-1070.0477226737482
td3,Pendulum-v1,0,12800,episode_reward,-1109.887150903839
td3,Pendulum-v1,0,13000,episode_reward,-939.7286903666972
td3,Pendulum-v1,0,13200,episode_reward,-944.3026146225023
td3,Pendulum-v1,0,13400,episode_reward,-951.7433458669417
td3,Pendulum-v1,0,13600,episode_reward,-1033.97152009175
td3,Pendulum-v1,0,13800,episode_reward,-1106.129413578571
td3,Pendulum-v1,0,14000,episode_reward,-1049.823973562399
td3,Pendulum-v1,0,14200,episode_reward,-1058.3886856863965
td3,Pendulum-v1,0,14400,episode_reward,-931.1378831590903
td3,Pendulum-v1,0,14600,episode_reward,-1131.8070743852936
td3,Pendulum-v1,0,14800,episode_reward,-897.9812461754075
td3,Pendulum-v1,0,15000,episode_reward,-1174.9099117117469
td3,Pendulum-v1,0,15200,episode_reward,-1538.4286374594426
td3,Pendulum-v1,0,15400,episode_reward,-951.6785439633811
td3,Pendulum-v1,0,15600,episode_reward,-1091.82911792689
td3,Pendulum-v1,0,15800,episode_reward,-1066.0491859555975
td3,Pendulum-v1,0,16000,episode_reward,-944.5255989940428
td3,Pendulum-v1,0,16200,episode_reward,-1063.4862092379794
td3,Pendulum-v1,0,16400,episode_reward,-946.3179737596356
td3,Pendulum-v1,0,16600,episode_reward,-958.096619320756
td3,Pendulum-v1,0,16800,episode_reward,-1064.2276353881043
td3,Pendulum-v1,0,17000,episode_reward,-949.2803229403438
td3,Pendulum-v1,0,17200,episode_reward,-947.0202919126448
td3,Pendulum-v1,0,17400,episode_reward,-1059.2266527196682
td3,Pendulum-v1,0,17600,episode_reward,-1049.150479632178
td3,Pendulum-v1,0,17800,episode_reward,-1069.7788551418582
td3,Pendulum-v1,0,18000,episode_reward,-1050.3205650391817
td3,Pendulum-v1,0,18200,episode_reward,-1076.456952351812
td3,Pendulum-v1,0,18400,episode_reward,-836.6754989360957
td3,Pendulum-v1,0,18600,episode_reward,-944.8879830763649
td3,Pendulum-v1,0,18800,episode_reward,-639.3176445555089
td3,Pendulum-v1,0,19000,episode_reward,-1074.3203118063632
td3,Pendulum-v1,0,19200,episode_reward,-620.4071828008979
td3,Pendulum-v1,0,19400,episode_reward,-1084.4237476911885
td3,Pendulum-v1,0,19600,episode_reward,-1071.6488068002973
td3,Pendulum-v1,0,19800,episode_reward,-1081.851788177376
td3,Pendulum-v1,0,20000,episode_reward,-953.3192780621288
td3,Pendulum-v1,0,20200,episode_reward,-535.825997944315
td3,Pendulum-v1,0,20400,episode_reward,-656.4739189115955
td3,Pendulum-v1,0,20600,episode_reward,-1097.3362099850158
td3,Pendulum-v1,0,20800,episode_reward,-623.0939906044431
td3,Pendulum-v1,0,21000,episode_reward,-1060.7772968929337
td3,Pendulum-v1,0,21200,episode_reward,-1218.306819614568
td3,Pendulum-v1,0,21400,episode_reward,-1088.867770451407
td3,Pendulum-v1,0,21600,episode_reward,-1055.169085465382
td3,Pendulum-v1,0,21800,episode_reward,-1061.232929374979
td3,Pendulum-v1,0,22000,episode_reward,-1070.043833216175
td3,Pendulum-v1,0,22200,episode_reward,-1044.5586058024005
td3,Pendulum-v1,0,22400,episode_reward,-990.9530284776187
td3,Pendulum-v1,0,22600,episode_reward,-714.4967498506813
td3,Pendulum-v1,0,22800,episode_reward,-914.2987410767195
td3,Pendulum-v1,0,23000,episode_reward,-968.3476684057266
td3,Pendulum-v1,0,23200,episode_reward,-1060.903922062321
td3,Pendulum-v1,0,23400,episode_reward,-975.2991646945825
td3,Pendulum-v1,0,23600,episode_reward,-958.0826040678608
td3,Pendulum-v1,0,23800,episode_reward,-1053.4451808003694
td3,Pendulum-v1,0,24000,episode_reward,-962.0123985270437
td3,Pendulum-v1,0,24200,episode_reward,-829.9771090433862
td3,Pendulum-v1,0,24400,episode_reward,-857.122070043182
td3,Pendulum-v1,0,24600,episode_reward,-952.8725740145451
td3,Pendulum-v1,0,24800,episode_reward,-1021.6468687187271
td3,Pendulum-v1,0,25000,episode_reward,-704.7928791499521
td3,Pendulum-v1,0,25200,episode_reward,-1040.1119286749165
td3,Pendulum-v1,0,25400,episode_reward,-612.9471800247123
td3,Pendulum-v1,0,25600,episode_reward,-839.3189328893267
td3,Pendulum-v1,0,25800,episode_reward,-764.8029805646446
td3,Pendulum-v1,0,26000,episode_reward,-833.4348367745489
td3,Pendulum-v1,0,26200,episode_reward,-809.1560532710865
td3,Pendulum-v1,0,26400,episode_reward,-717.7632470107206
td3,Pendulum-v1,0,26600,episode_reward,-650.7941879698453
td3,Pendulum-v1,0,26800,episode_reward,-718.7673666161156
td3,Pendulum-v1,0,27000,episode_reward,-728.9614134059217
td3,Pendulum-v1,0,27200,episode_reward,-931.9042663383811
td3,Pendulum-v1,0,27400,episode_reward,-831.9139682586753
td3,Pendulum-v1,0,27600,episode_reward,-836.2894609448814
td3,Pendulum-v1,0,27800,episode_reward,-932.0755908915121
td3,Pendulum-v1,0,28000,episode_reward,-636.5141303956701
td3,Pendulum-v1,0,28200,episode_reward,-854.132297799114
td3,Pendulum-v1,0,28400,episode_reward,-833.7243076521097
td3,Pendulum-v1,0,28600,episode_reward,-794.7563918126833
td3,Pendulum-v1,0,28800,episode_reward,-516.7155030531507
td3,Pendulum-v1,0,29000,episode_reward,-734.756545906287
td3,Pendulum-v1,0,29200,episode_reward,-721.6678027755913
td3,Pendulum-v1,0,29400,episode_reward,-722.9859677282187
td3,Pendulum-v1,0,29600,episode_reward,-859.8333780152702
td3,Pendulum-v1,0,29800,episode_reward,-620.707800500486
td3,Pendulum-v1,0,30000,episode_reward,-835.0257242688566
td3,Pendulum-v1,0,30200,episode_reward,-905.2259613097624
td3,Pendulum-v1,0,30400,episode_reward,-580.6201866975446
td3,Pendulum-v1,0,30600,episode_reward,-639.509465345128
td3,Pendulum-v1,0,30800,episode_reward,-1014.1501434392419
td3,Pendulum-v1,0,31000,episode_reward,-773.433925171341
td3,Pendulum-v1,0,31200,episode_reward,-633.9672614778201
td3,Pendulum-v1,0,31400,episode_reward,-691.3122599198712
td3,Pendulum-v1,0,31600,episode_reward,-637.4753558998833
td3,Pendulum-v1,0,31800,episode_reward,-722.4666302224218
td3,Pendulum-v1,0,32000,episode_reward,-641.8992868198573
td3,Pendulum-v1,0,32200,episode_reward,-772.595221118241
td3,Pendulum-v1,0,32400,episode_reward,-640.9296384201116
td3,Pendulum-v1,0,32600,episode_reward,-735.4826918372987
td3,Pendulum-v1,0,32800,episode_reward,-718.8643525817618
td3,Pendulum-v1,0,33000,episode_reward,-858.9677323167894
td3,Pendulum-v1,0,33200,episode_reward,-625.1522244527022
td3,Pendulum-v1,0,33400,episode_reward,-741.9452677678605
td3,Pendulum-v1,0,33600,episode_reward,-615.6201055353138
td3,Pendulum-v1,0,33800,episode_reward,-718.6382941402628
td3,Pendulum-v1,0,34000,episode_reward,-841.218563456966
td3,Pendulum-v1,0,34200,episode_reward,-621.0424046879641
td3,Pendulum-v1,0,34400,episode_reward,-560.1952471319713
td3,Pendulum-v1,0,34600,episode_reward,-715.7336026608417
td3,Pendulum-v1,0,34800,episode_reward,-611.1664321394856
td3,Pendulum-v1,0,35000,episode_reward,-736.8422649276778
td3,Pendulum-v1,0,35200,episode_reward,-625.6640549827781
td3,Pendulum-v1,0,35400,episode_reward,-711.8589449027261
td3,Pendulum-v1,0,35600,episode_reward,-505.02842456764245
td3,Pendulum-v1,0,35800,episode_reward,-648.1837288833076
td3,Pendulum-v1,0,36000,episode_reward,-599.3777635212359
td3,Pendulum-v1,0,36200,episode_reward,-504.225883782872
td3,Pendulum-v1,0,36400,episode_reward,-699.0106846669735
td3,Pendulum-v1,0,36600,episode_reward,-510.9224029620856
td3,Pendulum-v1,0,36800,episode_reward,-668.4294068034094
td3,Pendulum-v1,0,37000,episode_reward,-495.60184259386176
td3,Pendulum-v1,0,37200,episode_reward,-551.2574678635543
td3,Pendulum-v1,0,37400,episode_reward,-506.94759262079197
td3,Pendulum-v1,0,37600,episode_reward,-470.2605827862571
td3,Pendulum-v1,0,37800,episode_reward,-429.7684264194598
td3,Pendulum-v1,0,38000,episode_reward,-638.4721942742875
td3,Pendulum-v1,0,38200,episode_reward,-635.8546965898214
td3,Pendulum-v1,0,38400,episode_reward,-607.7639330627333
td3,Pendulum-v1,0,38600,episode_reward,-494.0830719610477
td3,Pendulum-v1,0,38800,episode_reward,-371.5620493580388
td3,Pendulum-v1,0,39000,episode_reward,-372.7657661044725
td3,Pendulum-v1,0,39200,episode_reward,-376.70988483908405
td3,Pendulum-v1,0,39400,episode_reward,-375.4555168113506
td3,Pendulum-v1,0,39600,episode_reward,-286.0381251652809
td3,Pendulum-v1,0,39800,episode_reward,-367.72813461179095
td3,Pendulum-v1,0,40000,episode_reward,-372.18103840710984
td3,Pendulum-v1,0,40200,episode_reward,-462.0506633308349
td3,Pendulum-v1,0,40400,episode_reward,-240.8454112407096
td3,Pendulum-v1,0,40600,episode_reward,-237.54490041293963
td3,Pendulum-v1,0,40800,episode_reward,-237.3826932273759
td3,Pendulum-v1,0,41000,episode_reward,-354.22699645422074
td3,Pendulum-v1,0,41200,episode_reward,-361.2642827679137
td3,Pendulum-v1,0,41400,episode_reward,-348.3849335742719
td3,Pendulum-v1,0,41600,episode_reward,-115.88869127398986
td3,Pendulum-v1,0,41800,episode_reward,-127.33590403533732
td3,Pendulum-v1,0,42000,episode_reward,-129.63566391208272
td3,Pendulum-v1,0,42200,episode_reward,-120.41035421466995
td3,Pendulum-v1,0,42400,episode_reward,-128.51930483899653
td3,Pendulum-v1,0,42600,episode_reward,-123.66494628806149
td3,Pendulum-v1,0,42800,episode_reward,-485.27030041783223
td3,Pendulum-v1,0,43000,episode_reward,-241.65892085496043
td3,Pendulum-v1,0,43200,episode_reward,-122.56797254946343
td3,Pendulum-v1,0,43400,episode_reward,-119.92038707868997
td3,Pendulum-v1,0,43600,episode_reward,-2.2862002804481003
td3,Pendulum-v1,0,43800,episode_reward,-237.89105566261043
td3,Pendulum-v1,0,44000,episode_reward,-123.64967925410726
td3,Pendulum-v1,0,44200,episode_reward,-356.9323467855073
td3,Pendulum-v1,0,44400,episode_reward,-128.42365055417176
td3,Pendulum-v1,0,44600,episode_reward,-1.030446548067758
td3,Pendulum-v1,0,44800,episode_reward,-233.25445490650915
td3,Pendulum-v1,0,45000,episode_reward,-121.24422612069979
td3,Pendulum-v1,0,45200,episode_reward,-124.32150880933445
td3,Pendulum-v1,0,45400,episode_reward,-128.6355398260738
td3,Pendulum-v1,0,45600,episode_reward,-362.9994998373475
td3,Pendulum-v1,0,45800,episode_reward,-246.20508624626618
td3,Pendulum-v1,0,46000,episode_reward,-364.0129789400842
td3,Pendulum-v1,0,46200,episode_reward,-238.44682666273613
td3,Pendulum-v1,0,46400,episode_reward,-116.85067729605983
td3,Pendulum-v1,0,46600,episode_reward,-229.55941978044214
td3,Pendulum-v1,0,46800,episode_reward,-130.24403250846396
td3,Pendulum-v1,0,47000,episode_reward,-230.61977919456453
td3,Pendulum-v1,0,47200,episode_reward,-130.83190923423348
